Geographic_Area_Name,zipCode,Median_number_of_rooms_2011,Median_number_of_rooms_2012,Median_number_of_rooms_2013,Median_number_of_rooms_2014,Median_number_of_rooms_2015,Median_number_of_rooms_2016,Median_number_of_rooms_2017,Median_number_of_rooms_2018,Median_number_of_rooms_2019,Median_number_of_rooms_2020,Median_number_of_rooms_2021,Median_number_of_rooms_2022,Median_number_of_rooms_2023,Median_number_of_rooms_2024
ZCTA5 01001,01001,5.4,5.4,5.4,5.4,5.4,5.3,5.4,5.4,5.3,5.4,5.5,5.4,5.3,5.3
ZCTA5 01002,01002,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.3,5.4,5.3,5.4,5.4,5.2
ZCTA5 01003,01003,-,5.8,-,-,4.3,1.4,1.8,1.8,2.1,2.5,2.9,2.8,3.0,6.5
ZCTA5 01005,01005,6.0,6.1,5.8,5.8,5.8,5.9,6.0,6.1,6.2,6.5,6.7,6.5,6.4,6.5
ZCTA5 01007,01007,5.9,5.8,5.7,5.7,5.9,5.9,6.0,6.1,6.1,6.1,6.1,6.1,6.1,6.1
ZCTA5 01008,01008,6.9,6.7,6.4,6.3,6.1,6.2,6.1,6.3,6.2,6.1,6.0,6.2,5.9,6.2
ZCTA5 01009,01009,5.5,5.3,5.4,5.0,5.4,5.3,6.7,6.9,6.6,7.6,6.8,6.3,5.7,5.9
ZCTA5 01010,01010,5.9,6.0,5.9,6.0,5.9,6.0,6.0,6.0,5.6,6.1,6.1,6.2,6.1,6.3
ZCTA5 01011,01011,6.1,6.2,5.9,6.1,6.0,6.0,6.0,6.0,6.1,6.1,6.0,6.0,5.9,5.7
ZCTA5 01012,01012,5.2,5.2,5.5,5.3,5.5,5.4,5.6,5.5,5.6,5.4,5.5,5.4,5.7,5.9
ZCTA5 01013,01013,4.9,4.9,4.9,4.9,4.9,4.9,5.0,4.9,4.9,4.9,5.0,5.0,5.0,4.9
ZCTA5 01020,01020,5.0,5.1,5.1,5.1,5.1,5.1,5.0,5.0,5.0,5.1,5.1,5.1,5.1,5.1
ZCTA5 01022,01022,4.4,4.4,4.3,4.3,4.3,4.3,4.2,4.3,4.3,4.3,4.3,4.6,4.4,4.4
ZCTA5 01026,01026,5.3,5.3,5.6,5.7,5.9,6.2,6.1,6.0,6.1,5.5,5.3,5.4,5.4,5.4
ZCTA5 01027,01027,5.3,5.3,5.3,5.3,5.4,5.3,5.3,5.4,5.4,5.3,5.4,5.4,5.3,5.3
ZCTA5 01028,01028,6.4,6.3,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.4,6.3,6.4,6.5
ZCTA5 01029,01029,5.3,5.2,5.1,5.2,5.3,5.1,5.1,5.2,5.3,5.3,5.3,5.4,5.3,5.2
ZCTA5 01030,01030,6.1,6.1,6.0,6.0,6.0,5.9,6.1,6.0,6.0,6.1,6.0,5.9,5.9,5.7
ZCTA5 01031,01031,5.4,5.5,5.6,5.4,5.3,5.2,5.1,5.0,4.7,5.0,5.4,5.2,5.4,5.3
ZCTA5 01032,01032,5.0,5.0,4.9,5.0,5.2,5.2,5.2,5.1,5.0,5.1,5.5,5.4,5.5,5.6
ZCTA5 01033,01033,5.9,5.9,5.9,5.7,5.8,5.8,5.8,5.7,5.8,5.9,5.8,5.9,6.0,6.1
ZCTA5 01034,01034,6.2,6.1,6.1,6.1,6.0,6.0,6.1,6.1,6.2,6.2,6.2,6.1,6.1,6.1
ZCTA5 01035,01035,6.1,6.2,6.4,6.3,6.4,6.5,6.6,6.4,6.4,6.2,6.4,6.3,6.3,6.3
ZCTA5 01036,01036,6.7,6.6,6.6,6.7,6.5,6.5,6.6,6.6,6.4,6.4,6.2,6.2,6.2,6.2
ZCTA5 01037,01037,6.4,6.8,6.4,5.9,5.8,5.9,5.8,6.0,7.0,9.0+,6.3,6.4,6.4,6.3
ZCTA5 01038,01038,5.8,5.9,6.0,6.1,6.0,5.9,5.9,5.9,5.9,6.1,6.2,6.3,6.4,6.3
ZCTA5 01039,01039,5.9,5.9,5.6,5.6,5.6,5.5,5.7,5.8,6.1,6.2,6.3,6.4,6.6,6.7
ZCTA5 01040,01040,4.9,4.9,4.8,4.9,4.9,4.9,4.8,4.9,4.8,4.8,4.7,4.8,4.8,4.8
ZCTA5 01050,01050,5.7,5.9,5.8,5.8,5.8,5.9,5.6,5.6,5.7,5.9,5.8,6.3,6.3,6.0
ZCTA5 01053,01053,5.9,6.0,6.0,5.9,6.1,6.2,6.4,5.8,5.9,5.9,5.8,5.8,5.9,5.9
ZCTA5 01054,01054,6.4,6.6,6.6,6.7,6.8,6.8,6.7,6.8,6.8,7.0,7.0,7.0,7.0,6.9
ZCTA5 01056,01056,5.7,5.7,5.7,5.7,5.7,5.6,5.5,5.5,5.5,5.4,5.4,5.5,5.4,5.5
ZCTA5 01057,01057,5.9,5.9,5.9,6.0,6.0,5.9,5.9,6.0,6.0,6.1,6.1,6.1,6.1,6.0
ZCTA5 01060,01060,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.9,4.9,4.9,5.0,4.9
ZCTA5 01062,01062,5.7,5.7,5.8,5.6,5.7,5.7,5.7,5.8,5.9,5.8,5.8,5.9,5.8,5.6
ZCTA5 01063,01063,-,-,-,-,-,-,-,-,-,-,2.9,3.0,3.0,4.0
ZCTA5 01066,01066,-,-,-,-,-,-,-,-,-,-,5.6,6.6,6.6,-
ZCTA5 01068,01068,6.7,6.7,6.6,6.4,6.5,6.6,6.6,6.7,7.0,6.9,6.8,6.8,6.6,6.5
ZCTA5 01069,01069,5.7,5.6,5.7,5.6,5.6,5.7,5.8,5.6,5.5,5.8,5.8,5.6,5.8,5.8
ZCTA5 01070,01070,5.9,6.2,6.2,6.0,5.7,5.7,5.6,5.6,5.6,5.9,5.8,5.6,5.5,5.4
ZCTA5 01071,01071,5.6,5.6,5.8,5.9,6.0,6.1,6.0,5.8,6.0,6.2,6.2,6.2,6.2,6.1
ZCTA5 01072,01072,5.3,5.3,5.4,5.6,5.8,5.9,6.0,5.9,5.8,5.7,5.6,5.7,5.7,5.8
ZCTA5 01073,01073,6.0,5.9,5.9,6.0,6.2,6.4,6.4,6.5,6.5,6.2,6.1,6.3,6.5,6.3
ZCTA5 01074,01074,5.5,5.5,4.8,5.0,4.8,-,4.4,4.6,4.7,4.8,4.9,5.3,5.1,4.2
ZCTA5 01075,01075,5.7,5.7,5.7,5.5,5.4,5.6,5.6,5.6,5.6,5.6,5.5,5.6,5.6,5.5
ZCTA5 01077,01077,6.0,6.0,5.8,6.0,6.0,6.1,6.0,5.9,5.7,5.7,5.8,5.9,5.8,5.9
ZCTA5 01079,01079,5.6,6.0,5.8,5.8,5.7,6.0,5.8,5.6,5.6,5.6,5.0,4.9,5.0,5.1
ZCTA5 01080,01080,5.6,5.6,5.6,5.2,5.3,5.3,5.4,5.5,5.7,5.6,5.7,5.4,5.3,5.5
ZCTA5 01081,01081,5.3,5.5,5.4,5.4,5.3,5.2,5.1,5.3,5.3,5.7,5.7,5.8,5.8,5.7
ZCTA5 01082,01082,5.4,5.4,5.4,5.4,5.5,5.4,5.5,5.4,5.3,5.2,5.2,5.3,5.4,5.5
ZCTA5 01083,01083,5.2,5.1,4.9,4.9,4.8,5.1,5.4,5.5,5.5,6.2,6.1,6.4,6.6,6.1
ZCTA5 01084,01084,6.1,6.6,6.6,6.9,6.9,7.2,7.0,7.0,6.6,6.5,6.1,6.4,6.7,6.2
ZCTA5 01085,01085,5.6,5.7,5.6,5.6,5.6,5.5,5.5,5.5,5.5,5.7,5.7,5.8,5.7,5.7
ZCTA5 01086,01086,-,-,-,-,-,-,-,-,-,-,,,,
ZCTA5 01088,01088,4.8,5.0,4.5,4.4,4.8,4.9,4.4,5.6,5.7,4.6,4.7,5.4,5.0,3.5
ZCTA5 01089,01089,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.1,5.2,5.1,5.1,5.0,5.2,5.1
ZCTA5 01092,01092,5.2,5.3,5.1,5.2,5.3,5.5,6.0,6.7,5.6,5.2,6.0,5.8,5.6,5.6
ZCTA5 01093,01093,6.6,6.3,6.3,6.9,6.7,7.1,7.2,7.1,6.6,6.8,9.0+,7.3,7.6,6.4
ZCTA5 01094,01094,3.5,4.1,4.2,4.2,3.8,3.5,4.1,4.2,5.1,6.4,7.8,5.6,5.8,6.2
ZCTA5 01095,01095,7.0,6.9,6.9,6.8,6.8,6.9,6.8,6.9,6.9,6.8,6.8,6.9,6.8,6.6
ZCTA5 01096,01096,5.7,5.7,5.7,5.8,5.8,5.9,5.9,5.8,5.8,5.9,6.0,6.2,6.1,6.0
ZCTA5 01097,01097,5.8,5.3,5.4,5.1,-,-,5.1,5.1,5.1,5.4,6.6,-,6.0,6.5
ZCTA5 01098,01098,5.8,5.7,5.7,5.6,5.9,5.9,5.9,6.0,6.0,6.1,5.8,5.9,5.8,5.9
ZCTA5 01103,01103,3.1,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.2,3.2,3.3,3.4,3.4,3.4
ZCTA5 01104,01104,5.2,5.2,5.2,5.1,5.1,5.1,5.2,5.1,5.1,5.2,5.1,5.2,5.2,5.3
ZCTA5 01105,01105,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.0,4.1,4.2,4.0,3.8,3.8,3.8
ZCTA5 01106,01106,7.2,7.3,7.4,7.4,7.3,7.3,7.2,7.3,7.4,7.4,7.4,7.4,7.5,7.5
ZCTA5 01107,01107,5.0,5.0,5.0,5.1,5.0,5.0,5.1,5.0,5.0,5.0,5.1,5.0,5.1,5.1
ZCTA5 01108,01108,5.3,5.3,5.3,5.4,5.4,5.5,5.4,5.4,5.3,5.4,5.3,5.3,5.4,5.3
ZCTA5 01109,01109,5.5,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.3,5.3,5.3,5.3,5.2,5.3
ZCTA5 01118,01118,5.7,5.8,5.8,5.9,5.9,5.9,5.9,6.0,5.9,5.8,5.8,5.8,5.7,5.7
ZCTA5 01119,01119,5.1,5.3,5.2,5.3,5.2,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.2
ZCTA5 01128,01128,5.3,5.4,5.5,5.5,5.7,5.5,5.5,5.6,5.5,5.8,6.0,6.1,6.2,6.3
ZCTA5 01129,01129,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.3
ZCTA5 01144,01144,,,,,,,,,,,-,-,-,-
ZCTA5 01151,01151,5.0,5.0,5.1,5.1,4.9,4.9,4.8,4.8,4.8,5.0,5.0,4.9,4.9,5.0
ZCTA5 01199,01199,-,-,-,-,-,-,-,-,-,-,,,,
ZCTA5 01201,01201,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.6
ZCTA5 01220,01220,5.5,5.6,5.6,5.5,5.5,5.5,5.4,5.4,5.5,5.5,5.4,5.4,5.4,5.3
ZCTA5 01222,01222,6.0,5.5,5.4,5.6,5.6,5.6,5.9,6.0,5.4,5.4,5.4,5.4,5.5,5.9
ZCTA5 01223,01223,5.4,5.4,5.4,5.5,5.4,5.4,5.4,5.4,5.4,5.5,5.4,5.4,5.4,5.4
ZCTA5 01224,01224,5.6,5.7,5.9,4.9,4.8,4.8,4.8,4.7,4.9,5.4,6.5,7.4,7.1,7.1
ZCTA5 01225,01225,5.8,5.8,5.6,5.7,5.5,5.5,5.5,5.7,6.0,6.0,6.0,6.1,6.0,5.9
ZCTA5 01226,01226,6.3,6.6,6.7,6.3,6.2,6.3,6.1,6.0,6.3,6.5,6.4,6.5,6.7,6.6
ZCTA5 01229,01229,6.8,6.3,6.5,6.2,5.6,5.8,5.5,5.3,5.3,5.4,6.0,5.9,6.0,5.8
ZCTA5 01230,01230,5.9,5.9,5.9,6.0,6.0,6.0,5.9,5.9,5.9,5.7,5.8,5.8,5.9,6.0
ZCTA5 01235,01235,5.6,5.6,5.7,5.5,5.7,5.7,5.7,5.7,5.5,5.3,5.1,5.3,5.4,5.4
ZCTA5 01236,01236,5.9,5.9,5.8,5.9,6.4,6.7,6.5,6.6,6.3,6.0,5.7,6.2,6.5,6.4
ZCTA5 01237,01237,5.7,5.7,5.5,5.6,5.6,5.9,5.9,5.9,5.9,6.0,5.9,5.4,5.6,5.5
ZCTA5 01238,01238,5.6,5.6,5.8,6.0,6.1,6.0,6.0,5.9,6.0,5.9,5.9,5.9,5.8,5.8
ZCTA5 01240,01240,5.6,5.9,6.1,5.9,5.8,5.6,5.5,5.7,5.7,6.1,6.0,6.2,6.2,6.0
ZCTA5 01242,01242,5.9,6.1,5.9,5.9,4.5,5.8,6.0,6.0,6.2,6.4,7.1,-,-,-
ZCTA5 01243,01243,5.4,5.6,5.5,5.5,5.3,5.5,5.2,5.4,5.4,5.7,6.3,6.4,6.5,6.8
ZCTA5 01244,01244,7.3,7.1,6.9,6.5,6.4,5.8,5.7,5.8,6.2,6.7,6.0,6.6,6.9,6.8
ZCTA5 01245,01245,5.9,5.8,5.9,5.9,5.9,6.1,6.2,6.2,6.3,6.5,6.7,6.5,6.6,6.3
ZCTA5 01247,01247,5.5,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.5,5.4
ZCTA5 01253,01253,6.0,5.9,5.8,5.8,6.0,5.9,6.0,6.0,6.2,6.1,6.2,6.3,6.2,6.1
ZCTA5 01254,01254,7.2,7.2,7.1,7.0,7.1,7.3,7.3,7.3,7.3,7.1,7.0,7.1,7.2,7.3
ZCTA5 01255,01255,5.4,5.4,5.7,5.7,5.7,5.9,5.7,5.7,5.6,5.6,5.5,5.7,5.6,5.8
ZCTA5 01256,01256,5.2,5.2,5.3,5.6,5.7,5.5,5.7,5.4,5.4,5.6,5.7,5.6,5.9,5.9
ZCTA5 01257,01257,6.0,6.2,6.0,5.9,5.8,5.7,5.6,6.0,6.0,5.7,5.8,6.1,5.5,5.9
ZCTA5 01258,01258,5.4,5.6,5.5,5.9,6.0,6.3,6.3,6.6,6.7,6.7,5.6,5.7,5.6,5.7
ZCTA5 01259,01259,6.0,6.1,6.2,6.5,6.4,6.4,6.3,6.2,6.1,6.3,6.4,6.7,6.8,7.0
ZCTA5 01260,01260,6.7,5.2,5.0,5.5,5.9,5.7,5.7,5.8,5.9,6.0,-,-,3.7,3.7
ZCTA5 01262,01262,5.6,5.6,5.7,5.7,5.6,5.6,5.7,5.3,5.4,5.6,5.8,5.9,5.9,5.9
ZCTA5 01264,01264,6.7,6.6,6.4,6.2,6.4,6.9,7.5,7.6,7.5,7.2,7.0,6.8,6.9,6.7
ZCTA5 01266,01266,6.4,6.3,6.2,6.3,6.4,6.4,6.8,6.8,6.8,6.4,6.6,6.5,6.7,6.6
ZCTA5 01267,01267,6.3,6.3,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.2,6.1,6.1,6.1
ZCTA5 01270,01270,5.7,5.6,5.6,5.5,5.8,5.8,5.8,5.8,5.8,6.0,6.4,6.4,6.4,6.5
ZCTA5 01301,01301,5.2,5.2,5.2,5.3,5.3,5.3,5.4,5.3,5.2,5.3,5.4,5.4,5.3,5.3
ZCTA5 01330,01330,6.1,6.1,6.3,6.2,6.0,6.1,6.1,6.0,5.5,5.3,5.3,5.3,5.4,5.8
ZCTA5 01331,01331,5.7,5.7,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.8,5.7,5.7,5.6,5.5
ZCTA5 01337,01337,6.1,6.2,6.2,6.3,6.1,6.2,6.1,6.1,6.1,6.0,5.9,6.0,5.8,5.8
ZCTA5 01338,01338,6.8,6.7,6.8,6.9,6.2,6.1,6.1,5.8,6.0,5.8,7.5,7.8,6.5,6.8
ZCTA5 01339,01339,5.5,5.7,5.7,5.8,5.9,5.9,5.8,5.9,5.8,5.7,5.7,6.0,6.1,5.8
ZCTA5 01340,01340,5.4,5.3,5.4,5.3,5.3,5.5,5.4,5.4,5.5,5.4,5.6,5.7,5.6,5.5
ZCTA5 01341,01341,6.5,6.5,6.4,6.7,6.6,6.8,7.0,7.0,6.9,6.8,6.6,6.5,6.7,6.9
ZCTA5 01342,01342,6.5,5.6,6.5,6.5,6.5,6.8,7.2,6.8,6.6,5.4,5.5,5.4,5.4,5.8
ZCTA5 01343,01343,6.1,6.6,6.3,6.3,6.7,5.9,5.3,6.1,5.2,4.3,4.4,5.8,5.7,5.3
ZCTA5 01344,01344,5.8,5.7,5.7,5.8,5.9,6.0,6.2,6.1,6.0,5.9,5.6,5.6,5.9,5.8
ZCTA5 01346,01346,4.3,4.6,4.8,5.0,5.2,5.1,5.3,5.0,5.4,5.2,5.1,5.3,5.5,5.0
ZCTA5 01347,01347,5.1,4.7,4.6,4.9,5.1,5.3,5.1,5.1,5.0,5.3,4.1,4.2,4.3,4.4
ZCTA5 01349,01349,6.0,6.2,6.2,6.4,6.5,5.8,6.0,5.9,5.5,5.4,5.2,5.2,5.2,5.4
ZCTA5 01350,01350,6.2,6.2,6.0,5.7,5.5,5.7,5.4,5.6,5.2,5.5,5.3,5.2,4.9,4.4
ZCTA5 01351,01351,5.9,6.0,5.8,6.0,5.7,5.8,5.8,5.9,6.0,6.0,6.1,5.7,5.9,5.8
ZCTA5 01354,01354,5.9,5.9,6.0,6.0,6.1,6.2,6.3,6.2,6.3,6.2,6.2,6.3,6.3,6.4
ZCTA5 01355,01355,6.2,6.1,6.2,6.3,6.3,6.3,6.6,6.5,6.6,6.6,6.6,6.3,6.0,5.9
ZCTA5 01360,01360,6.3,6.1,5.8,5.8,5.8,5.7,6.1,6.3,6.4,6.5,6.3,6.4,6.5,6.5
ZCTA5 01364,01364,5.4,5.3,5.2,5.1,5.1,5.2,5.4,5.6,5.6,5.6,5.6,5.7,5.6,5.7
ZCTA5 01366,01366,6.5,7.3,6.8,6.9,6.8,6.7,6.7,6.9,6.8,6.9,6.9,6.8,6.7,6.9
ZCTA5 01367,01367,6.5,6.2,6.1,5.9,6.0,5.9,6.0,6.0,6.3,6.3,6.3,6.5,6.5,6.3
ZCTA5 01368,01368,5.8,5.5,5.4,5.5,5.7,5.9,6.0,6.0,5.9,6.0,5.9,6.0,6.2,6.3
ZCTA5 01370,01370,5.9,5.9,5.9,6.0,6.0,5.8,5.8,5.7,5.7,5.8,6.0,5.9,5.9,6.0
ZCTA5 01373,01373,6.1,6.3,6.1,5.9,5.9,6.1,6.2,6.3,6.5,6.9,6.7,7.0,6.9,7.0
ZCTA5 01375,01375,4.5,4.6,4.9,5.0,4.8,4.8,4.7,4.3,4.1,4.3,4.6,4.4,4.4,4.7
ZCTA5 01376,01376,5.3,5.4,5.3,5.3,5.2,5.2,5.0,5.2,5.1,4.9,5.0,5.0,5.0,5.0
ZCTA5 01378,01378,5.6,5.5,5.6,5.5,5.4,5.3,5.6,5.5,5.4,5.8,6.1,6.0,6.0,6.0
ZCTA5 01379,01379,5.3,5.2,5.1,5.0,5.2,5.3,5.1,5.1,5.2,5.5,5.4,5.4,5.6,5.7
ZCTA5 01380,01380,,,,,,,,,,,7.0,6.6,5.9,5.7
ZCTA5 01420,01420,5.1,5.2,5.1,5.0,5.0,5.0,5.0,5.1,5.1,5.1,5.2,5.2,5.2,5.1
ZCTA5 01430,01430,6.1,6.1,6.4,6.4,6.3,5.9,5.8,5.7,6.0,6.1,6.1,6.0,5.9,5.9
ZCTA5 01431,01431,6.5,6.7,6.6,6.3,6.3,6.3,6.2,6.4,6.4,6.7,6.7,6.7,6.6,6.5
ZCTA5 01432,01432,5.2,5.1,4.9,5.1,5.2,5.2,5.1,5.2,5.2,5.3,5.2,5.1,5.3,5.3
ZCTA5 01434,01434,6.5,5.5,7.5,6.6,6.0,5.1,5.0,5.0,5.1,5.1,6.9,5.3,5.2,5.3
ZCTA5 01436,01436,6.1,6.1,6.1,6.0,5.9,5.6,5.7,5.3,5.6,5.9,6.1,6.2,6.6,6.6
ZCTA5 01438,01438,5.1,4.4,5.1,5.3,6.6,6.7,7.0,6.7,5.5,6.2,5.5,5.5,5.8,6.2
ZCTA5 01440,01440,5.2,5.2,5.1,5.0,4.8,5.0,5.0,5.0,5.2,5.2,5.2,5.2,5.2,5.1
ZCTA5 01450,01450,7.6,7.7,7.6,7.3,7.3,7.3,7.5,7.6,7.5,7.6,7.7,7.7,7.7,7.9
ZCTA5 01451,01451,8.1,8.2,8.3,8.1,8.1,8.0,8.0,8.1,8.0,8.1,8.2,8.1,8.0,8.0
ZCTA5 01452,01452,6.3,6.2,6.1,6.0,6.1,6.2,6.2,6.3,6.1,6.1,6.1,6.0,5.9,6.2
ZCTA5 01453,01453,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.4,5.3,5.3,5.2
ZCTA5 01460,01460,6.7,6.8,6.7,6.7,6.6,6.6,6.6,6.6,6.8,6.9,6.9,6.9,7.0,6.8
ZCTA5 01462,01462,6.3,6.2,6.3,6.2,6.3,6.3,6.3,6.2,6.1,6.1,6.0,6.0,6.1,6.2
ZCTA5 01463,01463,6.9,6.9,6.7,6.4,6.6,6.6,6.7,6.9,6.9,6.9,6.9,6.9,6.7,6.6
ZCTA5 01464,01464,5.9,5.9,5.9,5.8,5.9,5.9,6.0,6.1,6.2,6.3,6.5,6.3,6.3,6.0
ZCTA5 01467,01467,7.0,7.3,9.0+,8.4,8.4,7.9,5.3,8.1,7.9,8.2,,,,
ZCTA5 01468,01468,5.8,5.8,5.7,5.7,5.5,5.4,5.6,5.4,5.6,6.1,6.2,6.1,6.1,6.1
ZCTA5 01469,01469,6.3,6.3,6.4,6.4,6.5,6.4,6.5,6.3,6.5,6.3,6.3,6.2,6.3,6.5
ZCTA5 01473,01473,6.3,6.3,6.2,6.3,6.4,6.5,6.7,6.9,6.9,6.7,6.8,6.6,6.5,6.6
ZCTA5 01474,01474,6.4,6.7,6.7,6.8,6.6,6.5,6.4,6.3,6.2,6.5,6.5,6.6,6.8,6.9
ZCTA5 01475,01475,5.7,5.9,5.8,5.7,5.7,5.7,5.6,5.6,5.6,5.6,5.8,5.8,5.9,5.9
ZCTA5 01501,01501,6.0,6.1,6.0,6.0,5.9,5.9,5.9,6.0,5.9,5.9,6.0,5.9,5.8,5.8
ZCTA5 01503,01503,7.1,7.1,7.0,6.9,6.9,6.8,6.6,6.7,6.5,6.5,6.8,6.7,6.1,6.3
ZCTA5 01504,01504,5.7,5.7,5.6,5.6,5.7,5.7,5.8,5.8,5.7,5.7,5.6,5.6,5.7,5.8
ZCTA5 01505,01505,6.3,6.8,6.9,7.0,7.0,7.0,6.9,6.6,6.4,6.4,6.5,6.2,6.3,6.3
ZCTA5 01506,01506,5.5,5.5,5.4,5.4,5.4,5.7,5.7,5.8,5.7,5.7,5.8,5.8,5.9,5.7
ZCTA5 01507,01507,6.4,6.1,6.2,6.1,6.2,6.0,6.0,6.1,6.0,5.9,6.1,6.1,6.1,6.1
ZCTA5 01510,01510,5.2,5.3,5.4,5.4,5.2,5.1,5.1,5.2,5.2,5.1,5.2,5.2,5.1,5.2
ZCTA5 01515,01515,6.3,6.3,6.1,6.0,5.9,6.0,5.9,6.1,5.9,6.0,6.0,5.9,5.8,5.9
ZCTA5 01516,01516,6.2,6.3,6.3,6.3,6.4,6.2,6.3,6.3,6.2,6.2,6.4,6.4,6.4,6.6
ZCTA5 01518,01518,5.9,6.0,6.0,5.9,6.0,6.1,6.1,6.2,6.2,6.0,5.9,5.5,5.7,5.6
ZCTA5 01519,01519,7.1,7.0,7.1,7.2,7.3,7.4,7.3,7.1,6.8,6.9,6.9,7.3,7.3,7.4
ZCTA5 01520,01520,6.9,7.0,7.0,6.9,7.0,7.0,6.9,6.9,6.9,6.7,6.7,6.7,6.6,6.7
ZCTA5 01521,01521,5.1,5.1,5.1,5.3,5.3,5.3,5.4,5.3,5.3,5.2,5.2,5.2,5.4,5.4
ZCTA5 01522,01522,6.2,6.4,6.4,6.6,6.8,6.8,6.9,6.8,6.4,6.4,6.5,6.1,6.1,6.3
ZCTA5 01523,01523,6.5,6.3,6.3,6.2,6.2,6.3,6.4,6.3,6.1,6.1,6.1,6.2,6.3,6.4
ZCTA5 01524,01524,6.0,6.1,6.0,5.9,5.9,5.7,5.6,5.7,5.6,5.8,6.0,5.9,5.9,6.1
ZCTA5 01525,01525,6.0,5.5,5.0,5.1,4.6,5.6,5.7,5.1,4.4,5.0,-,-,-,-
ZCTA5 01527,01527,5.9,5.9,5.7,5.7,5.6,5.6,5.6,5.7,5.7,5.8,5.8,5.9,6.0,6.1
ZCTA5 01529,01529,6.2,6.3,6.2,6.3,6.3,6.5,6.3,6.1,6.1,6.0,6.2,6.2,6.5,6.4
ZCTA5 01531,01531,6.5,6.4,6.4,6.5,6.3,6.4,6.5,6.6,6.5,6.5,6.6,6.7,6.5,6.5
ZCTA5 01532,01532,6.9,6.9,6.9,6.8,6.8,6.9,7.1,7.1,7.3,7.3,7.2,7.0,7.0,6.7
ZCTA5 01534,01534,6.4,6.1,6.1,6.3,6.5,6.3,6.4,6.3,6.3,6.3,6.7,6.3,6.6,6.6
ZCTA5 01535,01535,5.6,5.8,5.8,5.9,5.8,5.8,5.7,5.7,5.8,5.4,5.5,5.5,5.4,5.3
ZCTA5 01536,01536,6.1,6.2,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.0,6.0,5.9,5.9,6.0
ZCTA5 01537,01537,5.2,5.3,5.3,5.0,5.1,5.2,4.8,4.7,4.8,4.9,5.0,5.4,5.2,5.6
ZCTA5 01540,01540,5.8,5.9,6.0,6.0,5.9,5.9,6.0,5.9,5.8,6.0,5.9,5.9,5.9,6.1
ZCTA5 01541,01541,7.3,7.2,7.2,7.3,7.4,7.5,7.7,7.6,7.5,7.8,7.9,7.7,7.5,7.5
ZCTA5 01542,01542,6.4,6.1,6.1,6.1,6.1,6.2,6.3,6.2,6.3,6.2,6.1,6.3,6.3,6.0
ZCTA5 01543,01543,6.4,6.4,6.5,6.5,6.4,6.4,6.3,6.3,6.3,6.8,6.8,6.9,6.9,6.9
ZCTA5 01545,01545,6.1,6.2,6.1,6.2,6.1,6.2,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.1
ZCTA5 01550,01550,5.3,5.3,5.2,5.1,5.1,5.1,5.0,5.0,5.1,5.1,5.0,5.2,5.3,5.2
ZCTA5 01560,01560,6.1,6.1,6.0,5.9,5.9,5.9,5.9,5.9,5.8,5.5,5.4,5.4,5.2,5.6
ZCTA5 01561,01561,4.0,5.1,5.7,5.6,5.6,6.2,6.7,6.6,-,-,-,-,-,-
ZCTA5 01562,01562,5.5,5.6,5.6,5.5,5.5,5.5,5.4,5.5,5.5,5.5,5.5,5.5,5.6,5.5
ZCTA5 01564,01564,6.7,6.7,6.9,6.7,6.6,6.9,6.8,6.8,7.0,6.8,6.8,6.8,6.9,6.8
ZCTA5 01566,01566,5.9,6.0,6.1,6.2,6.2,6.2,6.3,6.2,6.1,6.3,6.3,6.3,6.4,6.4
ZCTA5 01568,01568,7.2,7.1,6.9,6.9,7.0,7.0,7.0,7.2,7.4,7.5,7.6,7.6,7.5,7.5
ZCTA5 01569,01569,6.0,6.0,6.1,6.2,6.1,6.1,6.1,6.1,6.3,6.4,6.5,6.5,6.5,6.3
ZCTA5 01570,01570,5.3,5.3,5.3,5.4,5.4,5.4,5.3,5.3,5.2,5.3,5.3,5.3,5.2,5.3
ZCTA5 01571,01571,6.0,5.9,5.8,5.7,5.6,5.6,5.4,5.5,5.7,5.8,5.7,5.9,5.9,5.8
ZCTA5 01581,01581,6.0,5.9,6.2,5.9,6.0,6.0,5.9,5.7,5.6,5.6,5.7,5.5,5.5,5.8
ZCTA5 01583,01583,6.1,6.1,6.1,6.3,6.2,6.3,6.3,6.3,6.1,6.1,6.0,6.0,5.9,5.8
