Geographic_Area_Name,zipCode,Median_number_of_rooms_2011,Median_number_of_rooms_2012,Median_number_of_rooms_2013,Median_number_of_rooms_2014,Median_number_of_rooms_2015,Median_number_of_rooms_2016,Median_number_of_rooms_2017,Median_number_of_rooms_2018,Median_number_of_rooms_2019,Median_number_of_rooms_2020,Median_number_of_rooms_2021,Median_number_of_rooms_2022,Median_number_of_rooms_2023,Median_number_of_rooms_2024
ZCTA5 18038,18038,6.4,6.6,6.6,6.4,6.4,6.3,6.2,6.4,6.3,6.0,6.1,6.1,6.2,6.2
ZCTA5 18040,18040,6.9,6.8,6.8,7.0,6.9,7.0,6.8,7.0,7.0,6.8,7.0,7.0,6.9,6.6
ZCTA5 18041,18041,6.5,6.5,6.5,6.7,6.5,6.4,6.2,6.3,6.2,6.4,6.3,6.4,6.5,6.6
ZCTA5 18042,18042,5.8,5.8,5.8,5.8,5.7,5.6,5.7,5.7,5.7,5.8,5.8,5.8,5.7,5.7
ZCTA5 18045,18045,6.6,6.6,6.5,6.5,6.5,6.5,6.6,6.6,6.6,6.7,6.5,6.4,6.5,6.5
ZCTA5 18046,18046,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 18049,18049,6.2,6.2,6.2,6.0,6.1,6.1,6.1,6.2,6.3,6.4,6.3,6.4,6.2,6.2
ZCTA5 18051,18051,7.7,7.7,7.7,7.7,7.7,7.7,7.4,7.6,7.8,7.7,7.7,8.0,7.8,7.3
ZCTA5 18052,18052,5.8,5.8,5.8,5.9,5.8,5.7,5.7,5.8,5.7,5.6,5.6,5.6,5.5,5.6
ZCTA5 18053,18053,6.7,6.5,6.4,6.3,6.0,6.1,6.4,6.4,6.1,6.4,6.3,6.1,6.3,6.6
ZCTA5 18054,18054,6.3,6.4,6.4,6.6,6.7,6.6,6.5,6.5,6.3,6.5,7.1,6.8,6.8,6.6
ZCTA5 18055,18055,6.0,6.1,6.1,6.1,6.2,6.2,6.2,6.1,6.2,6.0,6.1,6.2,6.2,6.2
ZCTA5 18056,18056,5.1,4.8,4.8,4.4,4.4,4.5,5.0,5.1,5.1,5.7,5.9,5.8,5.7,6.0
ZCTA5 18058,18058,5.8,5.9,5.8,5.8,6.0,6.2,6.0,6.0,6.0,5.8,5.5,5.6,5.8,5.9
ZCTA5 18059,18059,7.3,7.9,7.8,7.3,6.7,6.6,6.4,6.4,6.5,7.0,6.9,7.5,7.8,7.8
ZCTA5 18062,18062,6.8,6.6,6.6,6.5,6.5,6.7,6.8,6.8,6.9,6.9,6.8,6.8,6.9,6.8
ZCTA5 18063,18063,5.7,5.2,5.3,5.9,5.3,5.4,6.3,5.8,6.7,6.7,7.6,6.5,6.1,5.9
ZCTA5 18064,18064,6.6,6.6,6.5,6.4,6.4,6.5,6.4,6.5,6.6,6.5,6.5,6.5,6.5,6.3
ZCTA5 18065,18065,,,,,,,,,,,6.0,6.0,6.4,6.5
ZCTA5 18066,18066,7.0,6.9,6.9,6.8,6.7,6.7,6.8,6.8,6.8,6.6,6.7,6.6,6.6,6.8
