Geographic_Area_Name,zipCode,"Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2023","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2023",Total_Housing_Units!!Occupied_Units!!10_or_more_units_2022,Total_Housing_Units!!Occupied_Units!!10_or_more_units_2023,Total_Housing_Units!!Occupied_Units!!2-9_units_2022,Total_Housing_Units!!Occupied_Units!!2-9_units_2023,"Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2022","Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2023",Total_Housing_Units!!Occupied_Units_2022,Total_Housing_Units!!Occupied_Units_2023,"Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2023","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2023",Total_Housing_Units!!Vacant_Units!!10_or_more_units_2022,Total_Housing_Units!!Vacant_Units!!10_or_more_units_2023,Total_Housing_Units!!Vacant_Units!!2-9_units_2022,Total_Housing_Units!!Vacant_Units!!2-9_units_2023,Total_Housing_Units!!Vacant_Units!!mobile-home_2022,Total_Housing_Units!!Vacant_Units!!mobile-home_2023,Total_Housing_Units!!Vacant_Units_2022,Total_Housing_Units!!Vacant_Units_2023,Total_Housing_Units_2022,Total_Housing_Units_2023
ZCTA5 01001,01001,593,680,3765,3743,871,948,1316,1335,66,107,6611,6813,0,0,74,77,0,0,223,143,0,0,297,220,6908,7033
ZCTA5 01002,01002,351,475,4265,4716,2025,2187,2133,2330,8,7,8782,9715,140,226,397,348,245,182,645,605,12,13,1439,1374,10221,11089
ZCTA5 01003,01003,0,0,15,18,4,12,0,4,0,0,19,34,0,0,0,0,31,14,41,37,0,0,72,51,91,85
ZCTA5 01005,01005,13,43,1427,1312,0,0,140,216,101,117,1681,1688,0,0,135,133,0,0,67,55,0,0,202,188,1883,1876
ZCTA5 01007,01007,156,207,4939,4816,217,201,799,903,335,302,6446,6429,0,0,43,0,0,0,43,49,55,91,141,140,6587,6569
ZCTA5 01008,01008,3,3,496,548,0,0,29,33,3,1,531,585,0,0,85,65,0,0,0,0,5,5,90,70,621,655
ZCTA5 01009,01009,0,0,172,178,11,17,124,172,0,0,307,367,25,0,27,0,0,0,0,0,0,0,52,0,359,367
ZCTA5 01010,01010,9,8,1314,1316,14,14,16,14,127,127,1480,1479,0,0,149,136,0,0,0,28,23,0,172,164,1652,1643
ZCTA5 01011,01011,0,0,434,384,15,6,60,53,3,3,512,446,0,0,146,166,0,10,0,0,0,0,146,176,658,622
ZCTA5 01012,01012,0,0,158,130,10,10,30,24,0,0,198,164,0,0,36,50,0,0,8,0,4,5,48,55,246,219
ZCTA5 01013,01013,485,602,4102,4076,1041,1002,3713,3851,9,18,9350,9549,112,120,235,230,14,26,478,384,0,0,839,760,10189,10309
ZCTA5 01020,01020,625,590,7444,7349,1366,1597,3230,3413,646,629,13311,13578,9,11,283,308,71,28,284,209,18,20,665,576,13976,14154
ZCTA5 01022,01022,622,626,106,133,11,10,338,300,0,0,1077,1069,17,0,0,0,0,0,0,0,0,0,17,0,1094,1069
ZCTA5 01026,01026,2,2,374,364,0,0,81,61,22,16,479,443,3,3,117,130,0,0,9,14,0,0,129,147,608,590
ZCTA5 01027,01027,680,784,4658,4456,680,734,2501,2516,87,86,8606,8576,0,0,193,264,24,26,348,355,8,0,573,645,9179,9221
ZCTA5 01028,01028,65,85,5086,5041,528,455,296,276,0,0,5975,5857,0,0,263,141,25,40,14,13,0,0,302,194,6277,6051
ZCTA5 01029,01029,0,0,229,305,0,0,0,0,12,0,241,305,0,0,695,662,0,0,0,0,13,14,708,676,949,981
ZCTA5 01030,01030,103,102,3915,3891,427,410,521,576,0,0,4966,4979,0,0,168,153,0,37,0,30,0,0,168,220,5134,5199
ZCTA5 01031,01031,15,12,339,352,0,0,322,333,0,0,676,697,0,0,0,0,0,0,55,37,0,0,55,37,731,734
ZCTA5 01032,01032,0,0,202,207,4,4,23,32,3,4,232,247,0,0,108,74,0,0,0,0,0,0,108,74,340,321
ZCTA5 01033,01033,91,54,2331,2327,51,67,213,91,0,0,2686,2539,0,0,40,57,0,62,58,110,0,0,98,229,2784,2768
ZCTA5 01034,01034,18,26,817,837,0,8,8,6,0,0,843,877,0,0,363,361,0,0,8,7,0,0,371,368,1214,1245
ZCTA5 01035,01035,70,59,1715,1703,118,90,411,441,9,0,2323,2293,0,0,43,0,0,0,0,0,0,0,43,0,2366,2293
ZCTA5 01036,01036,29,37,1886,1884,0,9,56,35,0,0,1971,1965,0,0,65,60,0,0,0,0,0,0,65,60,2036,2025
ZCTA5 01037,01037,0,0,239,239,0,0,18,7,0,0,257,246,0,0,15,26,0,0,0,0,0,0,15,26,272,272
ZCTA5 01038,01038,124,89,740,801,20,44,174,128,0,0,1058,1062,0,0,65,57,0,0,0,0,0,0,65,57,1123,1119
ZCTA5 01039,01039,3,4,553,548,18,11,140,130,6,0,720,693,0,0,19,10,0,0,0,0,0,0,19,10,739,703
ZCTA5 01040,01040,794,1096,5348,5449,3657,3615,5296,5344,17,20,15112,15524,72,66,321,182,321,321,917,964,0,0,1631,1533,16743,17057
ZCTA5 01050,01050,7,7,941,895,0,0,137,102,17,15,1102,1019,0,0,101,122,0,0,20,21,5,4,126,147,1228,1166
ZCTA5 01053,01053,150,74,396,467,57,71,139,179,0,0,742,791,9,0,0,0,0,0,27,29,0,0,36,29,778,820
ZCTA5 01054,01054,20,16,650,620,0,0,65,75,3,3,738,714,0,0,67,75,0,0,8,8,0,0,75,83,813,797
ZCTA5 01056,01056,457,332,6100,6124,480,541,1394,1441,71,64,8502,8502,0,0,478,425,0,16,45,41,0,0,523,482,9025,8984
ZCTA5 01057,01057,85,76,2807,2736,46,109,414,389,121,133,3473,3443,0,0,164,133,0,0,80,80,0,0,244,213,3717,3656
ZCTA5 01060,01060,557,710,2393,2348,1614,1534,2817,2880,10,9,7391,7481,100,82,36,40,59,87,166,185,0,0,361,394,7752,7875
ZCTA5 01062,01062,156,214,2983,2908,220,256,819,838,0,0,4178,4216,70,69,150,120,25,31,44,45,0,0,289,265,4467,4481
ZCTA5 01063,01063,0,0,4,4,0,0,2,2,0,0,6,6,0,0,0,0,0,0,17,5,0,0,17,5,23,11
ZCTA5 01066,01066,0,0,69,60,0,0,0,0,0,0,69,60,0,0,0,0,0,0,0,0,0,0,0,0,69,60
ZCTA5 01068,01068,0,19,587,597,0,0,22,20,4,4,613,640,0,0,61,57,0,0,0,0,0,0,61,57,674,697
ZCTA5 01069,01069,77,152,2605,2757,190,203,710,692,266,232,3848,4036,0,0,45,60,0,21,108,75,54,0,207,156,4055,4192
ZCTA5 01070,01070,2,0,238,229,0,0,6,2,15,16,261,247,2,2,92,81,0,0,0,1,0,0,94,84,355,331
ZCTA5 01071,01071,3,3,447,459,0,0,64,61,16,13,530,536,0,0,62,54,0,0,26,34,0,0,88,88,618,624
ZCTA5 01072,01072,17,7,542,541,0,0,51,53,4,4,614,605,0,0,100,89,0,0,9,9,0,0,109,98,723,703
ZCTA5 01073,01073,106,99,2167,2088,53,67,170,210,0,0,2496,2464,0,0,55,51,36,37,0,0,0,0,91,88,2587,2552
ZCTA5 01074,01074,29,29,61,42,0,0,90,160,0,0,180,231,0,0,78,50,0,0,0,0,0,0,78,50,258,281
ZCTA5 01075,01075,697,661,4869,4946,431,511,1319,1128,0,0,7316,7246,45,49,142,111,0,30,166,161,0,0,353,351,7669,7597
ZCTA5 01077,01077,220,276,2990,2973,89,147,382,404,10,10,3691,3810,72,42,60,142,80,81,80,84,0,0,292,349,3983,4159
ZCTA5 01079,01079,62,39,73,57,0,0,127,42,0,0,262,138,0,0,0,0,0,0,0,0,0,0,0,0,262,138
ZCTA5 01080,01080,22,32,581,537,30,25,334,392,22,21,989,1007,0,0,43,10,0,36,11,44,0,0,54,90,1043,1097
ZCTA5 01081,01081,8,2,581,567,6,7,31,43,66,59,692,678,0,0,122,144,0,0,19,9,0,0,141,153,833,831
ZCTA5 01082,01082,232,160,2934,2967,243,223,1247,1055,187,242,4843,4647,0,28,237,77,19,19,223,250,0,0,479,374,5322,5021
ZCTA5 01083,01083,0,0,574,709,236,173,93,166,0,60,903,1108,0,0,0,63,0,0,0,0,22,0,22,63,925,1171
ZCTA5 01084,01084,0,0,47,46,0,0,3,4,0,0,50,50,0,0,32,34,0,0,0,0,0,0,32,34,82,84
ZCTA5 01085,01085,476,562,9685,9935,1420,1306,3746,3634,440,557,15767,15994,0,14,292,312,142,119,541,615,0,0,975,1060,16742,17054
ZCTA5 01088,01088,45,36,162,123,20,20,98,84,65,62,390,325,0,0,0,0,0,0,0,0,11,10,11,10,401,335
ZCTA5 01089,01089,421,487,6486,6571,2408,2190,3205,3180,171,170,12691,12598,0,0,255,242,9,67,213,188,0,0,477,497,13168,13095
ZCTA5 01092,01092,0,0,333,270,112,157,173,157,0,0,618,584,0,0,0,0,0,0,73,53,0,0,73,53,691,637
ZCTA5 01093,01093,0,0,66,89,0,0,3,9,0,0,69,98,0,0,0,3,0,0,0,0,0,0,0,3,69,101
ZCTA5 01094,01094,0,0,13,16,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,0,0,0,13,16
ZCTA5 01095,01095,229,123,4647,4644,225,285,281,325,0,0,5382,5377,0,0,91,111,42,42,194,148,0,0,327,301,5709,5678
ZCTA5 01096,01096,29,16,846,860,5,6,227,189,0,0,1107,1071,0,0,109,134,0,0,24,9,0,0,133,143,1240,1214
ZCTA5 01097,01097,0,0,5,5,0,0,12,9,0,0,17,14,0,0,0,13,0,0,0,9,0,0,0,22,17,36
ZCTA5 01098,01098,0,6,420,431,3,4,44,55,0,0,467,496,4,4,129,128,0,0,0,0,0,0,133,132,600,628
ZCTA5 01103,01103,0,0,30,0,1387,1477,79,73,0,0,1496,1550,0,0,0,0,145,165,11,13,0,0,156,178,1652,1728
ZCTA5 01104,01104,389,449,4074,3920,1411,1449,3193,2987,36,39,9103,8844,14,0,314,351,70,24,285,343,0,0,683,718,9786,9562
ZCTA5 01105,01105,104,127,432,408,1815,1778,2666,2582,1,1,5018,4896,0,0,51,96,203,229,389,333,0,0,643,658,5661,5554
ZCTA5 01106,01106,189,244,5308,5237,357,290,97,93,25,24,5976,5888,0,0,152,90,49,77,36,36,0,0,237,203,6213,6091
ZCTA5 01107,01107,423,477,860,933,821,748,2181,1994,5,12,4290,4164,7,17,0,14,69,46,342,293,0,0,418,370,4708,4534
ZCTA5 01108,01108,285,371,3888,4143,751,689,5577,5344,4,5,10505,10552,0,0,85,103,55,74,694,556,53,47,887,780,11392,11332
ZCTA5 01109,01109,521,481,4510,4628,1284,1291,3308,3329,0,17,9623,9746,0,0,288,225,139,136,683,633,46,46,1156,1040,10779,10786
ZCTA5 01118,01118,249,323,4568,4504,138,134,769,669,0,0,5724,5630,0,0,92,95,0,0,51,62,0,0,143,157,5867,5787
ZCTA5 01119,01119,103,110,3925,3974,304,293,545,532,296,312,5173,5221,0,6,211,157,13,16,0,0,85,117,309,296,5482,5517
ZCTA5 01128,01128,0,0,1102,1117,0,0,0,0,0,0,1102,1117,0,0,0,0,0,0,0,0,0,0,0,0,1102,1117
ZCTA5 01129,01129,247,226,1886,1920,66,48,462,388,0,0,2661,2582,0,0,83,107,0,0,0,10,0,0,83,117,2744,2699
ZCTA5 01144,01144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 01151,01151,318,249,1432,1423,55,110,1644,1690,166,134,3615,3606,19,21,21,29,0,0,279,278,0,25,319,353,3934,3959
ZCTA5 01201,01201,748,811,11069,11313,1875,1895,5975,5975,207,205,19874,20199,126,128,814,816,372,371,1011,1026,28,26,2351,2367,22225,22566
ZCTA5 01220,01220,113,84,2131,2134,368,431,1415,1414,14,18,4041,4081,0,0,123,96,48,30,362,341,0,15,533,482,4574,4563
ZCTA5 01222,01222,8,0,207,232,0,0,0,0,23,0,238,232,0,0,0,0,0,0,0,0,9,8,9,8,247,240
ZCTA5 01223,01223,12,10,1149,1175,0,0,7,5,13,11,1181,1201,5,4,953,928,0,0,0,0,19,20,977,952,2158,2153
ZCTA5 01224,01224,0,0,56,88,0,0,0,0,0,0,56,88,0,0,0,0,0,0,0,0,0,0,0,0,56,88
ZCTA5 01225,01225,0,0,1291,1272,0,0,117,110,139,131,1547,1513,0,0,103,99,0,0,0,0,48,0,151,99,1698,1612
ZCTA5 01226,01226,24,28,2141,2082,166,258,512,447,41,16,2884,2831,0,0,0,69,30,24,0,0,89,89,119,182,3003,3013
ZCTA5 01229,01229,0,24,69,50,0,0,14,13,0,0,83,87,0,0,21,23,0,0,0,0,0,0,21,23,104,110
ZCTA5 01230,01230,85,186,2841,2769,211,127,636,570,3,0,3776,3652,0,0,1349,1321,100,41,12,11,0,0,1461,1373,5237,5025
ZCTA5 01235,01235,28,19,814,876,0,0,142,106,75,68,1059,1069,0,0,304,289,0,0,34,56,33,19,371,364,1430,1433
ZCTA5 01236,01236,4,3,555,578,0,0,56,65,4,4,619,650,0,0,160,129,0,0,0,0,9,10,169,139,788,789
ZCTA5 01237,01237,17,16,871,848,0,0,106,93,48,35,1042,992,0,0,96,72,195,223,169,144,5,0,465,439,1507,1431
ZCTA5 01238,01238,80,140,2056,1997,160,248,267,317,9,9,2572,2711,0,0,230,185,42,42,176,131,0,0,448,358,3020,3069
ZCTA5 01240,01240,35,60,1341,1382,496,393,367,406,0,48,2239,2289,105,94,443,301,157,158,184,187,0,0,889,740,3128,3029
ZCTA5 01242,01242,0,0,22,0,0,0,48,41,0,0,70,41,0,0,0,57,0,0,0,0,0,0,0,57,70,98
ZCTA5 01243,01243,0,0,72,86,0,0,0,0,0,0,72,86,0,0,25,20,0,0,2,3,0,0,27,23,99,109
ZCTA5 01244,01244,0,0,71,112,0,0,3,0,0,0,74,112,0,0,71,55,0,0,0,0,0,0,71,55,145,167
ZCTA5 01245,01245,0,0,330,314,0,0,5,8,0,0,335,322,0,0,444,479,0,0,14,25,0,0,458,504,793,826
ZCTA5 01247,01247,107,58,3597,3524,577,552,2320,2395,182,194,6783,6723,0,0,364,499,68,79,594,555,3,3,1029,1136,7812,7859
ZCTA5 01253,01253,0,0,363,380,0,0,3,12,11,11,377,403,0,0,266,258,0,0,0,0,0,0,266,258,643,661
ZCTA5 01254,01254,10,3,409,407,16,16,5,5,0,0,440,431,0,0,121,138,0,0,0,0,0,0,121,138,561,569
ZCTA5 01255,01255,0,0,311,288,1,1,16,25,27,21,355,335,0,0,280,269,0,0,0,10,0,0,280,279,635,614
ZCTA5 01256,01256,3,5,267,342,0,0,4,4,31,15,305,366,0,0,56,19,0,0,0,0,15,25,71,44,376,410
ZCTA5 01257,01257,27,26,710,811,26,27,248,198,0,0,1011,1062,26,0,238,176,0,0,25,0,0,0,289,176,1300,1238
ZCTA5 01258,01258,2,0,75,81,4,4,0,0,0,0,81,85,0,0,77,117,0,0,11,11,0,0,88,128,169,213
ZCTA5 01259,01259,0,0,260,261,0,0,6,7,0,16,266,284,0,0,154,122,0,0,0,0,0,0,154,122,420,406
ZCTA5 01260,01260,0,0,9,9,0,0,0,0,0,0,9,9,0,0,0,0,0,0,58,165,0,0,58,165,67,174
ZCTA5 01262,01262,0,0,496,509,56,50,163,103,0,0,715,662,4,0,662,681,21,19,93,94,0,0,780,794,1495,1456
ZCTA5 01264,01264,5,0,93,85,0,0,0,0,0,0,98,85,1,1,66,63,0,0,1,1,0,0,68,65,166,150
ZCTA5 01266,01266,2,4,409,421,0,0,27,12,18,17,456,454,0,0,338,326,0,0,14,14,4,4,356,344,812,798
ZCTA5 01267,01267,54,100,2053,1989,131,168,453,437,44,30,2735,2724,21,29,464,383,82,110,222,194,0,0,789,716,3524,3440
ZCTA5 01270,01270,0,0,383,375,0,0,15,24,0,0,398,399,0,0,30,37,0,0,0,0,3,4,33,41,431,440
ZCTA5 01301,01301,508,516,4139,4118,741,726,2806,2902,31,29,8225,8291,0,17,209,205,44,84,187,164,0,0,440,470,8665,8761
ZCTA5 01330,01330,7,19,592,676,36,29,111,98,13,12,759,834,0,0,64,54,10,10,16,17,0,0,90,81,849,915
ZCTA5 01331,01331,117,119,3853,3896,177,169,1173,1112,92,129,5412,5425,25,62,447,438,0,33,151,74,5,18,628,625,6040,6050
ZCTA5 01337,01337,38,38,874,880,13,37,70,76,49,47,1044,1078,0,2,88,62,0,0,22,20,13,14,123,98,1167,1176
ZCTA5 01338,01338,0,0,34,31,4,4,10,12,0,0,48,47,0,0,0,0,0,0,0,0,0,0,0,0,48,47
ZCTA5 01339,01339,32,18,505,504,0,0,58,54,39,39,634,615,8,8,141,137,18,18,14,14,8,7,189,184,823,799
ZCTA5 01340,01340,11,9,693,675,0,0,103,105,28,22,835,811,0,0,112,110,0,0,8,9,50,71,170,190,1005,1001
ZCTA5 01341,01341,17,14,638,621,23,14,36,51,0,0,714,700,0,11,49,38,0,0,11,11,0,0,60,60,774,760
ZCTA5 01342,01342,23,40,266,305,25,25,79,77,0,0,393,447,0,0,86,86,0,0,0,0,0,0,86,86,479,533
ZCTA5 01343,01343,0,4,49,64,0,0,21,10,2,3,72,81,0,0,0,0,0,0,0,0,0,0,0,0,72,81
ZCTA5 01344,01344,30,37,488,500,12,8,145,138,2,2,677,685,0,0,48,33,21,23,11,10,0,0,80,66,757,751
ZCTA5 01346,01346,0,0,189,217,0,0,2,2,12,13,203,232,0,0,56,55,0,0,0,0,79,76,135,131,338,363
ZCTA5 01347,01347,22,13,79,59,0,0,0,0,0,0,101,72,0,0,27,0,0,0,0,0,0,0,27,0,128,72
ZCTA5 01349,01349,8,23,227,230,0,0,104,101,4,4,343,358,0,0,0,0,0,0,27,0,0,0,27,0,370,358
ZCTA5 01350,01350,4,12,47,36,0,0,2,7,0,0,53,55,0,0,17,8,0,0,0,0,0,0,17,8,70,63
ZCTA5 01351,01351,43,23,619,608,47,45,253,252,72,70,1034,998,0,0,30,32,0,0,10,11,0,0,40,43,1074,1041
ZCTA5 01354,01354,9,18,556,567,6,2,51,62,5,9,627,658,0,0,20,16,0,0,0,0,0,0,20,16,647,674
ZCTA5 01355,01355,0,2,402,388,0,0,10,9,0,0,412,399,0,0,47,43,0,0,8,9,9,9,64,61,476,460
ZCTA5 01360,01360,31,34,1065,1139,28,16,101,82,0,0,1225,1271,0,0,99,113,0,0,24,31,0,0,123,144,1348,1415
ZCTA5 01364,01364,28,21,1922,1883,180,231,713,735,201,229,3044,3099,0,0,184,161,0,0,176,144,31,31,391,336,3435,3435
ZCTA5 01366,01366,0,5,447,439,0,0,12,16,2,3,461,463,0,0,55,57,0,0,13,13,0,0,68,70,529,533
ZCTA5 01367,01367,8,8,172,193,0,0,10,4,8,12,198,217,0,0,76,73,0,0,0,0,0,0,76,73,274,290
ZCTA5 01368,01368,4,5,508,501,0,0,20,28,6,11,538,545,0,0,70,66,0,0,0,0,6,7,76,73,614,618
ZCTA5 01370,01370,51,62,1173,1109,62,72,423,416,32,50,1741,1709,16,16,92,108,0,0,98,96,16,16,222,236,1963,1945
ZCTA5 01373,01373,231,237,1580,1613,120,106,363,332,15,13,2309,2301,0,0,77,23,0,0,8,20,0,0,85,43,2394,2344
ZCTA5 01375,01375,70,74,810,793,400,422,485,499,0,0,1765,1788,0,0,52,49,115,93,0,0,0,0,167,142,1932,1930
ZCTA5 01376,01376,23,24,1128,1150,198,129,928,979,12,14,2289,2296,24,0,8,9,0,0,179,166,0,0,211,175,2500,2471
ZCTA5 01378,01378,11,12,326,345,0,0,9,17,2,4,348,378,0,0,76,54,0,0,0,0,0,0,76,54,424,432
ZCTA5 01379,01379,16,9,339,311,0,0,4,0,7,6,366,326,0,0,30,12,0,0,0,0,0,0,30,12,396,338
ZCTA5 01380,01380,0,0,9,15,0,0,0,0,0,0,9,15,0,0,8,20,0,0,0,0,2,3,10,23,19,38
ZCTA5 01420,01420,1086,1097,7407,7682,2254,2345,5875,5764,78,45,16700,16933,114,44,329,357,92,134,681,530,0,0,1216,1065,17916,17998
ZCTA5 01430,01430,197,144,2011,2076,0,23,96,109,15,14,2319,2366,0,0,457,526,0,0,0,0,0,0,457,526,2776,2892
ZCTA5 01431,01431,27,30,1187,1217,0,0,22,8,5,9,1241,1264,0,0,62,44,0,0,0,0,0,0,62,44,1303,1308
ZCTA5 01432,01432,457,381,1926,1846,403,424,813,831,31,28,3630,3510,26,18,0,37,71,68,57,137,0,0,154,260,3784,3770
ZCTA5 01434,01434,15,15,144,197,45,64,74,52,0,0,278,328,0,0,0,0,0,0,27,21,0,0,27,21,305,349
ZCTA5 01436,01436,63,45,1039,960,20,17,153,258,0,0,1275,1280,0,0,0,14,0,0,71,37,0,0,71,51,1346,1331
ZCTA5 01438,01438,0,0,111,97,0,0,22,22,0,0,133,119,0,0,0,0,0,0,0,0,0,0,0,0,133,119
ZCTA5 01440,01440,307,297,4499,4469,1580,1544,2407,2572,146,139,8939,9021,55,0,203,147,140,138,305,294,0,0,703,579,9642,9600
ZCTA5 01450,01450,185,198,3045,3001,144,159,326,301,0,0,3700,3659,0,24,59,0,25,28,7,62,0,0,91,114,3791,3773
ZCTA5 01451,01451,72,68,1567,1607,74,78,53,54,0,0,1766,1807,0,10,118,122,0,0,0,0,0,0,118,132,1884,1939
ZCTA5 01452,01452,104,97,1333,1430,35,31,81,72,0,0,1553,1630,0,0,20,9,0,0,26,0,0,0,46,9,1599,1639
ZCTA5 01453,01453,1040,858,9537,9048,3132,3233,4544,4853,151,156,18404,18148,37,44,134,128,103,82,439,493,0,0,713,747,19117,18895
ZCTA5 01460,01460,98,111,3028,3051,226,215,106,160,99,100,3557,3637,22,26,175,195,0,0,0,0,0,0,197,221,3754,3858
ZCTA5 01462,01462,113,123,3479,3485,375,351,462,455,175,124,4604,4538,30,30,63,82,10,10,46,51,0,0,149,173,4753,4711
ZCTA5 01463,01463,274,236,3399,3369,224,185,348,437,94,95,4339,4322,0,0,76,109,0,0,109,85,0,0,185,194,4524,4516
ZCTA5 01464,01464,195,196,1787,1790,225,196,233,153,30,69,2470,2404,0,0,96,108,0,0,0,0,0,0,96,108,2566,2512
ZCTA5 01468,01468,200,157,1297,1310,51,65,64,86,46,19,1658,1637,0,0,65,101,0,0,30,41,33,44,128,186,1786,1823
ZCTA5 01469,01469,38,47,2287,2221,382,322,90,69,0,0,2797,2659,0,0,24,48,0,0,0,0,0,0,24,48,2821,2707
ZCTA5 01473,01473,130,130,2760,2822,60,54,284,255,14,14,3248,3275,0,0,203,194,0,0,0,0,0,0,203,194,3451,3469
ZCTA5 01474,01474,51,31,615,657,0,0,41,89,0,0,707,777,0,0,0,0,0,0,0,0,0,0,0,0,707,777
ZCTA5 01475,01475,181,197,2549,2729,78,135,739,657,41,62,3588,3780,0,0,406,280,0,0,25,35,0,0,431,315,4019,4095
ZCTA5 01501,01501,232,300,5158,5030,326,482,725,767,231,243,6672,6822,11,0,159,162,24,0,0,0,44,56,238,218,6910,7040
ZCTA5 01503,01503,306,304,840,759,135,164,151,212,0,8,1432,1447,65,55,0,0,0,0,0,0,0,0,65,55,1497,1502
ZCTA5 01504,01504,250,261,2588,2587,187,145,849,976,0,0,3874,3969,17,32,25,25,19,21,95,32,0,0,156,110,4030,4079
ZCTA5 01505,01505,118,126,1556,1657,14,15,176,134,0,0,1864,1932,0,0,32,32,0,0,0,0,0,0,32,32,1896,1964
ZCTA5 01506,01506,16,0,986,976,41,33,155,189,247,275,1445,1473,0,0,26,73,0,0,0,0,0,0,26,73,1471,1546
ZCTA5 01507,01507,81,85,4038,4094,179,198,516,580,19,20,4833,4977,0,0,227,238,20,0,60,25,0,0,307,263,5140,5240
ZCTA5 01510,01510,749,795,2780,2735,1124,1200,1973,1859,106,74,6732,6663,0,8,50,63,123,138,196,145,0,0,369,354,7101,7017
ZCTA5 01515,01515,0,0,687,754,0,27,184,124,0,0,871,905,0,0,110,109,0,0,0,0,0,0,110,109,981,1014
ZCTA5 01516,01516,76,33,2656,2815,179,216,249,237,0,22,3160,3323,0,0,176,188,0,0,0,0,49,47,225,235,3385,3558
ZCTA5 01518,01518,0,0,861,852,202,187,237,193,16,15,1316,1247,0,0,0,0,47,44,0,0,0,0,47,44,1363,1291
ZCTA5 01519,01519,294,355,2038,2158,105,66,200,145,0,0,2637,2724,0,0,0,0,0,0,25,0,0,0,25,0,2662,2724
ZCTA5 01520,01520,248,226,5008,4930,510,539,181,213,31,38,5978,5946,0,0,0,0,0,0,0,0,0,0,0,0,5978,5946
ZCTA5 01521,01521,29,3,1116,1135,0,0,21,15,9,11,1175,1164,0,0,377,360,0,0,0,0,0,0,377,360,1552,1524
ZCTA5 01522,01522,174,157,805,836,95,112,66,73,0,0,1140,1178,0,0,23,0,0,0,36,21,0,0,59,21,1199,1199
ZCTA5 01523,01523,234,214,2418,2437,43,81,286,212,0,0,2981,2944,0,0,22,26,0,0,0,0,0,0,22,26,3003,2970
ZCTA5 01524,01524,35,62,1772,1904,190,158,177,105,13,0,2187,2229,0,0,164,145,0,36,47,38,0,0,211,219,2398,2448
ZCTA5 01525,01525,0,0,0,0,0,0,31,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
ZCTA5 01527,01527,383,409,3500,3564,334,318,992,985,0,16,5209,5292,27,28,144,16,34,33,134,234,0,0,339,311,5548,5603
ZCTA5 01529,01529,156,135,865,872,18,13,236,202,0,0,1275,1222,0,0,28,28,0,0,12,12,0,0,40,40,1315,1262
ZCTA5 01531,01531,11,11,368,350,0,0,21,13,2,6,402,380,0,0,25,16,0,0,0,0,0,0,25,16,427,396
ZCTA5 01532,01532,538,440,4394,4434,426,409,454,432,0,0,5812,5715,8,10,114,188,0,0,0,0,0,0,122,198,5934,5913
ZCTA5 01534,01534,200,214,1621,1715,167,146,350,332,0,0,2338,2407,42,28,67,56,0,24,0,0,0,0,109,108,2447,2515
ZCTA5 01535,01535,61,55,1164,1251,91,100,555,491,0,0,1871,1897,0,0,74,62,24,24,105,180,0,0,203,266,2074,2163
ZCTA5 01536,01536,551,550,1986,2019,29,22,462,430,0,0,3028,3021,0,0,77,153,0,0,57,56,0,0,134,209,3162,3230
ZCTA5 01537,01537,66,64,366,297,25,23,319,323,32,28,808,735,0,0,0,44,0,0,0,0,0,0,0,44,808,779
ZCTA5 01540,01540,154,189,3267,3249,26,83,617,618,7,6,4071,4145,0,0,156,65,28,0,132,127,0,0,316,192,4387,4337
ZCTA5 01541,01541,8,6,1259,1279,9,10,40,29,0,0,1316,1324,0,0,66,48,0,0,0,37,0,0,66,85,1382,1409
ZCTA5 01542,01542,96,90,871,815,0,0,137,141,0,0,1104,1046,0,0,17,0,7,6,0,0,0,0,24,6,1128,1052
ZCTA5 01543,01543,293,285,2411,2494,176,124,178,188,0,0,3058,3091,0,0,187,166,0,0,54,0,31,0,272,166,3330,3257
ZCTA5 01545,01545,1136,1225,9478,9477,2608,2575,1116,1131,86,100,14424,14508,7,14,468,595,171,92,131,109,0,0,777,810,15201,15318
ZCTA5 01550,01550,128,98,2686,2759,650,653,3557,3737,9,9,7030,7256,31,33,93,94,0,0,324,261,0,0,448,388,7478,7644
ZCTA5 01560,01560,316,289,748,718,85,154,759,794,0,0,1908,1955,9,0,24,10,0,0,61,63,0,0,94,73,2002,2028
ZCTA5 01561,01561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,50,50,50,50
