Geographic_Area_Name,zipCode,"Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2023","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2023",Total_Housing_Units!!Occupied_Units!!10_or_more_units_2022,Total_Housing_Units!!Occupied_Units!!10_or_more_units_2023,Total_Housing_Units!!Occupied_Units!!2-9_units_2022,Total_Housing_Units!!Occupied_Units!!2-9_units_2023,"Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2022","Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2023",Total_Housing_Units!!Occupied_Units_2022,Total_Housing_Units!!Occupied_Units_2023,"Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2023","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2023",Total_Housing_Units!!Vacant_Units!!10_or_more_units_2022,Total_Housing_Units!!Vacant_Units!!10_or_more_units_2023,Total_Housing_Units!!Vacant_Units!!2-9_units_2022,Total_Housing_Units!!Vacant_Units!!2-9_units_2023,Total_Housing_Units!!Vacant_Units!!mobile-home_2022,Total_Housing_Units!!Vacant_Units!!mobile-home_2023,Total_Housing_Units!!Vacant_Units_2022,Total_Housing_Units!!Vacant_Units_2023,Total_Housing_Units_2022,Total_Housing_Units_2023
ZCTA5 41817,41817,0,0,123,71,0,0,0,0,94,62,217,133,0,0,35,30,0,0,0,0,37,21,72,51,289,184
ZCTA5 41819,41819,0,0,104,70,0,0,0,0,26,44,130,114,0,0,42,61,0,0,0,0,40,0,82,61,212,175
ZCTA5 41821,41821,0,0,39,52,0,0,0,0,43,86,82,138,0,0,50,51,0,0,0,0,25,23,75,74,157,212
ZCTA5 41822,41822,0,0,480,495,69,86,44,42,206,246,799,869,0,0,28,36,6,6,10,7,50,9,94,58,893,927
ZCTA5 41824,41824,2,2,164,158,0,0,74,0,171,147,411,307,0,0,10,13,0,0,0,0,108,78,118,91,529,398
ZCTA5 41825,41825,0,0,52,72,0,0,0,9,41,34,93,115,0,0,16,16,0,0,0,0,36,36,52,52,145,167
ZCTA5 41826,41826,0,0,173,150,0,0,0,0,112,163,285,313,0,0,0,0,0,0,0,0,0,0,0,0,285,313
ZCTA5 41828,41828,0,0,155,171,0,0,3,0,48,51,206,222,0,0,51,45,0,0,0,0,22,20,73,65,279,287
ZCTA5 41831,41831,0,0,348,389,4,15,6,5,93,52,451,461,0,0,55,101,0,0,24,25,14,16,93,142,544,603
ZCTA5 41832,41832,0,0,149,104,0,0,0,0,34,13,183,117,0,0,0,0,0,0,0,0,37,62,37,62,220,179
ZCTA5 41833,41833,0,0,54,22,0,0,0,0,0,6,54,28,0,0,33,0,0,0,0,0,20,27,53,27,107,55
ZCTA5 41834,41834,0,0,50,66,0,0,0,0,100,41,150,107,0,0,29,71,0,0,0,0,0,0,29,71,179,178
ZCTA5 41835,41835,0,0,122,72,0,0,0,0,139,94,261,166,0,0,185,208,0,0,0,0,7,5,192,213,453,379
ZCTA5 41836,41836,0,0,258,262,0,0,22,0,96,116,376,378,0,0,33,34,0,0,0,0,86,112,119,146,495,524
ZCTA5 41837,41837,0,0,165,233,0,0,0,0,138,67,303,300,0,0,22,23,0,0,0,0,0,7,22,30,325,330
ZCTA5 41838,41838,0,0,281,268,0,0,0,0,40,58,321,326,0,0,0,0,0,0,0,0,0,0,0,0,321,326
