Geographic_Area_Name,zipCode,Median_value_2011,Median_value_2012,Median_value_2013,Median_value_2014,Median_value_2015,Median_value_2016,Median_value_2017,Median_value_2018,Median_value_2019,Median_value_2020,Median_value_2021,Median_value_2022,Median_value_2023,Median_value_2024
ZCTA5 25846,25846,127500,92500,130800,148300,176500,-,-,158500,-,-,-,55000,-,-
ZCTA5 25848,25848,39400,55000,61800,43800,127100,-,-,95700,-,-,75400,-,-,-
ZCTA5 25849,25849,-,49500,54900,54600,52700,80600,-,-,-,-,-,-,-,-
ZCTA5 25851,25851,,,,,,,,,,,-,-,-,-
ZCTA5 25853,25853,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 25854,25854,67000,76600,82500,83000,93100,99900,115800,126900,143500,154700,147400,150200,176800,163900
ZCTA5 25855,25855,-,-,-,-,-,-,-,-,-,-,-,-,-,55400
ZCTA5 25857,25857,14600,32500,43900,32600,55000,54300,-,-,-,-,-,-,-,-
ZCTA5 25862,25862,78600,81700,81000,83500,328000,-,-,-,-,-,-,224400,233000,228600
ZCTA5 25864,25864,"10,000-",24400,102900,109600,,114300,106800,101300,-,69300,-,-,-,-
ZCTA5 25865,25865,87500,88700,96300,127200,108400,107800,84300,80600,73200,92400,90700,159000,163200,170000
ZCTA5 25866,25866,,,,,,,,,,,32300,36200,-,61400
ZCTA5 25868,25868,66800,59800,58600,46300,,-,-,85900,83500,86900,105900,126200,127400,123900
ZCTA5 25870,25870,-,-,-,-,-,-,-,-,-,-,76200,-,-,-
ZCTA5 25871,25871,67000,67600,95700,116300,128600,135500,88600,66300,66800,63400,79200,85700,85600,104400
ZCTA5 25873,25873,75200,77200,82000,78900,89500,102400,107800,116000,114000,130700,128300,132000,130500,162300
ZCTA5 25875,25875,108800,81200,57900,49200,74600,-,-,-,-,-,91300,119600,168800,-
ZCTA5 25876,25876,151200,164800,170300,155300,164200,-,-,-,-,-,-,-,-,355800
ZCTA5 25878,25878,79800,83700,84500,67500,74400,105000,99600,99900,123000,107100,104900,104700,-,104000
ZCTA5 25879,25879,91500,44100,40600,27500,26500,-,-,-,-,-,-,-,31500,30400
ZCTA5 25880,25880,77900,81100,81500,79000,77500,81300,81400,87300,87500,101500,100600,116600,108700,112400
ZCTA5 25882,25882,53500,51900,55400,59800,62700,63500,65600,66300,71600,70800,74700,84400,79700,78400
ZCTA5 25901,25901,77500,75900,79500,79000,80700,87200,91100,96100,98900,105300,102400,112100,112200,121500
ZCTA5 25902,25902,24900,20100,22500,21900,,25500,27500,40900,93800,92700,-,-,-,"10,000-"
ZCTA5 25904,25904,109900,63400,69100,69300,,156300,-,92300,93800,84500,81100,88100,56000,61100
ZCTA5 25906,25906,93300,94300,93500,92700,99900,89800,88800,89000,93900,89400,,,,
ZCTA5 25907,25907,55700,55700,-,-,-,-,-,-,-,-,-,85400,-,92900
ZCTA5 25908,25908,-,-,-,-,-,122100,-,-,-,-,-,-,-,-
ZCTA5 25909,25909,,,,,,,,,,,87900,109000,114400,137400
ZCTA5 25911,25911,"10,000-","10,000-",-,-,-,-,-,-,-,-,-,-,46400,45300
ZCTA5 25913,25913,63500,73500,73600,77800,,134900,-,109700,103200,102800,-,-,-,22200
ZCTA5 25915,25915,17400,18500,47000,51200,50000,50900,-,14200,-,12400,"10,000-","10,000-",-,-
ZCTA5 25916,25916,45900,46500,24800,14800,,-,-,-,-,-,-,-,-,-
ZCTA5 25917,25917,57700,60500,61100,66600,59200,76400,92500,99100,88400,109400,106300,93100,84700,88700
ZCTA5 25918,25918,84400,99500,108500,108700,130900,153300,158400,154100,154900,155300,152200,148100,185600,181600
ZCTA5 25920,25920,99300,90300,46400,42300,,-,-,-,-,-,"10,000-","10,000-",-,-
ZCTA5 25921,25921,71800,74200,55200,57900,56600,53600,53900,57200,59200,74300,73800,86000,99600,105800
ZCTA5 25922,25922,135700,121500,118400,116100,123200,123800,125000,-,-,238500,-,-,-,-
ZCTA5 25928,25928,33500,43200,42100,73500,,78400,-,-,55600,-,54800,55700,-,95800
ZCTA5 25932,25932,63500,48900,-,-,-,86500,84700,93600,90700,90500,93300,95400,-,-
ZCTA5 25936,25936,154200,"10,000-","10,000-","10,000-","10,000-","10,000-",-,-,-,-,-,-,-,-
ZCTA5 25938,25938,68600,66300,72800,75200,77800,85400,122900,94400,157600,-,178600,99900,99500,99300
ZCTA5 25942,25942,"10,000-",74300,-,70600,26600,27900,25800,26500,-,-,89300,-,-,-
ZCTA5 25943,25943,,,,,,,,,,,-,-,-,-
ZCTA5 25951,25951,68300,71000,67300,67600,77400,86600,99400,111400,105100,101900,98300,118700,117800,123400
ZCTA5 25958,25958,100400,76400,79200,80800,64600,58100,65300,57400,62200,73900,68600,67600,74000,69800
ZCTA5 25962,25962,63700,67500,69900,71900,74000,78300,83500,89400,83800,84100,84600,92800,96000,96800
ZCTA5 25966,25966,,,,,,,,,,,95000,107100,160900,162800
ZCTA5 25969,25969,109200,102000,112500,134000,106500,68300,77400,74600,72700,83900,131600,151400,188300,182300
ZCTA5 25971,25971,133100,151600,174400,167600,167600,167300,154700,160500,161100,100700,145100,156800,143600,150000
ZCTA5 25972,25972,44900,24600,18300,40500,,-,43800,46700,63100,-,-,52400,51800,55000
ZCTA5 25976,25976,63000,88100,67700,68500,75300,71700,69500,75200,82500,106100,118000,119800,117300,126100
ZCTA5 25977,25977,55000,56900,56800,77800,58100,-,-,72500,-,95500,-,-,-,-
ZCTA5 25978,25978,84700,92800,65000,48700,54700,64400,100000,141500,164800,174600,168200,165200,166400,168000
ZCTA5 25979,25979,96700,129400,138700,158000,158500,156600,145600,116800,85300,86700,89300,100000,148800,169400
ZCTA5 25981,25981,46700,51900,60400,64900,67000,65900,60300,49500,38100,36100,36800,33500,37300,72600
ZCTA5 25984,25984,54700,60300,70400,69300,72000,73900,75500,78300,82000,56200,62200,77300,76400,82100
ZCTA5 25985,25985,47800,46900,44700,45500,65000,-,100700,101000,100900,94800,68800,100400,110400,101800
ZCTA5 25986,25986,,,,,,,,,,,187500,139100,146600,-
ZCTA5 25989,25989,184200,62000,65600,90000,110200,-,-,-,-,-,181100,180700,186000,199000
ZCTA5 26003,26003,97800,98200,102000,106000,109300,111500,116000,119900,124900,132500,137900,156500,164500,166100
ZCTA5 26030,26030,53900,63000,57900,55000,51000,49000,51400,50300,51700,49100,51600,55000,62800,60300
ZCTA5 26031,26031,56700,57400,58600,62400,64500,63000,68700,65100,64100,65900,76800,71900,93500,78300
ZCTA5 26032,26032,97600,103800,100000,100500,108300,96700,108300,112500,89500,90400,82800,88800,85400,116300
ZCTA5 26033,26033,67900,95600,96800,105400,108500,106700,102200,98000,105500,88800,106100,137200,152800,153600
ZCTA5 26034,26034,85400,84000,82000,81300,84000,84000,85000,89200,86600,98300,99300,115900,117400,138400
ZCTA5 26035,26035,91000,92200,89500,91000,91400,116900,115500,105800,108300,104300,91600,100000,150500,158800
ZCTA5 26036,26036,29600,134700,148700,200800,205200,218800,228400,206100,135600,125800,227500,275000,-,-
ZCTA5 26037,26037,85000,82600,81800,90900,85900,86400,88300,86100,84900,90400,92300,116300,130800,136600
ZCTA5 26038,26038,126100,139000,134500,131000,139000,140500,142800,166000,179500,185200,195900,214600,202400,207500
ZCTA5 26039,26039,70400,85400,85800,170800,182400,154200,184100,145200,-,-,80800,93800,195000,191700
ZCTA5 26040,26040,64600,66200,65500,67500,66600,66600,71100,74700,70200,76600,77600,85800,88000,97400
ZCTA5 26041,26041,79000,80400,81500,82800,90700,94700,95300,96200,101600,100800,108300,118200,128400,144700
ZCTA5 26047,26047,90700,89300,88300,89600,92200,94900,97800,96400,98900,98700,103200,120400,145500,158100
ZCTA5 26050,26050,58200,55300,54100,50200,46800,41300,38300,37900,50400,50600,65000,81000,82900,83900
ZCTA5 26055,26055,79300,78900,75800,75900,87700,95300,98600,115900,133100,84700,86000,97700,-,-
ZCTA5 26056,26056,102800,109400,113300,109400,125500,133300,134400,-,-,-,-,84200,76400,85100
ZCTA5 26058,26058,,,,,,,,,,,-,-,-,-
ZCTA5 26059,26059,88400,83600,101600,92300,106800,110500,130500,122500,122800,116200,118800,136300,168200,191700
ZCTA5 26060,26060,81300,87700,85700,88900,116600,108900,114500,142700,154400,151600,164300,164200,198200,155900
ZCTA5 26062,26062,90100,88200,87000,86900,89800,88000,92700,95700,96300,96200,98800,115500,122800,134700
ZCTA5 26070,26070,83800,82400,80400,80000,83900,92200,92600,95500,102400,104200,101200,116400,126900,143500
ZCTA5 26074,26074,125500,111600,95700,98300,99700,107700,108100,113400,109400,114200,116000,150000,158300,164800
ZCTA5 26075,26075,50000,53100,54000,54600,53300,50300,49200,51400,63800,53100,59100,71200,63100,62200
ZCTA5 26101,26101,86900,88800,88200,86900,86800,85100,85300,86900,88300,86100,88100,97700,107300,117500
ZCTA5 26104,26104,111800,107500,105600,107200,102300,101300,116900,122500,122700,131500,141200,152700,164600,170800
ZCTA5 26105,26105,116600,114200,117300,120200,125000,126000,132500,132800,139400,142000,147400,151500,162100,161100
ZCTA5 26133,26133,96800,125000,128200,115000,119700,114300,109300,109000,122200,159400,176900,186200,220000,223500
ZCTA5 26134,26134,98600,99400,99500,95500,93700,92900,97700,97100,91400,98500,102300,116700,116300,128400
ZCTA5 26136,26136,75000,85500,58500,51100,59400,152100,-,-,127100,87300,83600,114100,-,102300
ZCTA5 26137,26137,54200,38200,50700,34000,51800,70400,72100,74000,86400,112500,84200,158500,152600,-
ZCTA5 26138,26138,52400,59000,-,-,54000,53900,53800,-,51600,-,-,-,-,214600
ZCTA5 26141,26141,55000,64600,65000,62800,64000,106500,113900,-,65900,65200,58000,70000,74800,75000
ZCTA5 26142,26142,69200,66300,68900,65100,64000,57400,152300,122200,89200,84800,85900,95000,98000,113200
ZCTA5 26143,26143,77600,74900,79300,82100,88500,80700,83700,88400,93200,87400,93300,102400,97200,95100
ZCTA5 26146,26146,59300,60600,85000,88100,86900,87800,101900,95700,86400,150300,152900,166600,165000,166900
ZCTA5 26147,26147,51300,72100,72600,72300,66700,88100,89900,86100,91900,106400,97300,102600,95000,85300
ZCTA5 26148,26148,65900,66000,73300,82100,82700,83600,84200,82200,65700,68400,82700,66200,76700,85000
ZCTA5 26149,26149,79000,89400,89000,84600,85900,89000,88800,95100,89800,95500,100300,123800,123600,159900
ZCTA5 26150,26150,143300,132300,128200,126500,132900,138600,162900,168100,154600,160600,171700,179900,172100,172500
ZCTA5 26151,26151,86300,78400,91900,87300,86300,76800,87500,78300,75400,73600,73400,82400,104100,110600
ZCTA5 26152,26152,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 26155,26155,91400,94900,90700,94100,93400,94400,96900,111900,109300,110900,122000,129000,123000,150500
ZCTA5 26159,26159,71800,71700,69800,74200,81700,83000,84300,88000,85900,79700,79500,91200,101700,104100
ZCTA5 26160,26160,59800,56000,58700,60600,70900,76000,80500,88900,119600,152700,108800,121400,148200,181100
ZCTA5 26161,26161,124600,123100,85000,64500,57900,59700,62500,-,-,-,150100,121900,176500,162500
ZCTA5 26162,26162,,,,,,,,,,,-,-,-,-
ZCTA5 26164,26164,106300,100200,88900,87900,94300,88900,97500,102300,108700,109300,126800,125100,136500,137300
ZCTA5 26167,26167,69700,63900,65900,73700,69000,81200,125000,99600,105700,113800,110200,114900,104800,83600
ZCTA5 26169,26169,76500,90700,91100,93300,112500,110800,111500,114700,124300,119400,215000,135400,114700,110300
ZCTA5 26170,26170,92500,97400,100400,102500,104400,107800,105500,108700,110200,109900,117400,118300,126100,151800
ZCTA5 26175,26175,73900,72400,68800,72200,87700,91900,98200,99000,105400,93000,94700,108100,112200,118800
ZCTA5 26178,26178,92500,63500,71800,78300,59400,59100,68100,80700,58300,47000,-,-,153100,137500
ZCTA5 26180,26180,86100,80100,87100,84600,100600,105600,115300,122800,152700,171400,97800,104600,118200,116900
ZCTA5 26181,26181,137200,140100,145200,141300,141700,145500,144500,156500,166100,169700,169600,193200,200200,197700
ZCTA5 26184,26184,97600,89000,88900,91700,94200,124600,134200,140300,150500,156300,139800,166200,175000,165600
ZCTA5 26187,26187,121000,129800,127600,132700,134300,142200,143300,148800,156300,159300,162600,187600,183100,198300
ZCTA5 26201,26201,97900,101300,102500,104300,113300,117600,123100,129700,130400,126900,136600,154400,162600,174100
ZCTA5 26202,26202,81600,89000,79300,101300,81100,78100,80800,83400,82100,87500,84400,114400,-,103800
ZCTA5 26203,26203,68900,100800,66800,-,-,-,-,-,-,-,"10,000-","10,000-","10,000-","10,000-"
ZCTA5 26205,26205,77200,79400,77100,72100,84500,85100,80800,88700,88800,87200,80600,101500,97300,81000
ZCTA5 26206,26206,59200,54200,60900,59400,47700,57300,58300,58800,61000,62400,73000,85500,74600,78400
ZCTA5 26208,26208,50500,47100,58300,58400,60600,60200,61900,62000,66200,66800,72700,71700,67000,68800
ZCTA5 26209,26209,388900,412500,370800,364300,347100,-,-,-,-,-,-,-,225000,233800
ZCTA5 26210,26210,,,,,,,,,,,-,-,-,-
ZCTA5 26215,26215,69700,81400,84600,84000,,-,-,-,-,-,-,-,-,-
ZCTA5 26217,26217,59800,85000,67700,130100,58700,128800,-,-,-,138900,-,-,212500,137500
ZCTA5 26218,26218,105400,110600,112800,103000,116300,108000,92000,89000,88500,84200,108000,153500,138600,143900
ZCTA5 26222,26222,55500,85000,111200,112000,82300,75300,77300,73000,70200,74900,116000,-,117700,58300
ZCTA5 26224,26224,85000,72200,71100,59100,,80700,84700,83400,101300,106400,105700,-,91700,57400
ZCTA5 26228,26228,89300,215700,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 26230,26230,24600,75000,71300,29300,,51200,-,27300,-,-,-,-,-,-
ZCTA5 26234,26234,81800,78100,74500,74800,75000,66500,70700,74700,79400,76500,-,168300,201700,206500
ZCTA5 26236,26236,"10,000-","10,000-",-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 26237,26237,40700,85000,85000,84600,87200,62900,63600,63700,65500,63700,59000,103800,110700,117700
ZCTA5 26238,26238,52800,48700,56300,53900,67900,77400,84000,86600,116500,117400,107300,113300,133500,133000
ZCTA5 26241,26241,108700,103200,109900,112100,115400,119900,123900,122300,132800,139000,126500,143300,143100,152000
ZCTA5 26250,26250,85200,79800,84900,82300,85000,91600,93100,93200,96800,93800,96000,102100,107800,112000
ZCTA5 26253,26253,97300,118400,124000,132000,137800,139200,151300,145000,142200,133100,136900,134600,159100,124400
ZCTA5 26254,26254,125000,121500,132000,136800,119400,122300,102200,-,67300,-,-,-,207900,202600
ZCTA5 26257,26257,54400,77500,81300,79500,93200,97200,93300,87300,88500,77900,75800,-,142700,120800
ZCTA5 26259,26259,-,-,-,"10,000-","10,000-","10,000-","10,000-",-,-,-,-,172100,227500,188200
ZCTA5 26260,26260,163600,154200,149700,142100,149600,168400,172300,208900,210800,184900,176300,194200,205500,236500
ZCTA5 26261,26261,38100,37400,38500,41200,40600,44300,44200,42200,43000,43900,63100,59600,64400,74700
ZCTA5 26263,26263,83900,108200,115900,100000,117400,225000,224100,223900,253400,266300,91700,76000,74100,84500
ZCTA5 26264,26264,74600,64400,69500,72400,85000,65800,73100,79500,-,88300,131900,139800,132700,158500
ZCTA5 26266,26266,116500,123200,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 26267,26267,157900,119200,106300,77200,,-,191100,193300,203600,238800,-,205000,216100,308500
ZCTA5 26268,26268,350000,383300,383300,366700,400000,-,-,-,-,-,-,-,-,-
ZCTA5 26269,26269,97400,105900,96600,96200,108400,104900,85400,100400,121300,153200,151400,141100,155100,157100
ZCTA5 26270,26270,154500,110700,114200,112500,88500,101000,89700,89200,89200,146700,88700,88500,159500,168300
ZCTA5 26271,26271,61100,88800,86300,98300,102000,102000,104500,113100,120300,129600,140000,115600,110500,-
ZCTA5 26273,26273,68200,59700,77700,110300,112200,102800,110000,90000,75000,81000,105400,119700,115800,152800
ZCTA5 26275,26275,65000,65900,70700,61300,57700,57800,65000,60700,65900,64500,71400,73000,75000,67900
ZCTA5 26276,26276,87500,67700,92200,100000,,-,-,55700,55100,78800,98000,126900,153600,156300
ZCTA5 26278,26278,81700,87800,89200,67100,80100,58600,53100,63200,66500,68800,69500,105200,119500,115600
ZCTA5 26280,26280,85800,78300,69000,65700,65000,68700,66400,63400,76300,83300,87700,92500,141300,134100
ZCTA5 26282,26282,103500,-,-,-,-,-,-,-,-,-,67300,61600,74500,-
ZCTA5 26283,26283,79300,92800,99300,104400,113200,114500,101000,119900,124600,141800,134700,150500,146400,153500
ZCTA5 26285,26285,46100,45400,60400,60400,61700,63500,75900,82000,81500,91800,85800,94700,95500,96500
ZCTA5 26287,26287,81100,86600,103100,86800,80400,84700,83600,90300,93600,97300,111400,119900,125300,137500
ZCTA5 26288,26288,64700,65000,61500,63800,72000,72500,77500,75000,76900,82000,83000,84200,88300,80200
ZCTA5 26289,26289,,,,,,,,,,,1104200,-,-,-
ZCTA5 26291,26291,138700,217500,-,-,368200,385000,-,-,-,153800,312500,-,-,-
ZCTA5 26292,26292,104900,87300,84800,108000,95700,95500,96200,95600,97700,95300,104000,136000,152900,151700
ZCTA5 26293,26293,84200,82000,68800,63300,63600,65600,69400,73700,74600,-,255900,190300,253500,-
ZCTA5 26294,26294,71900,73600,72700,68500,75500,79000,75500,84300,87100,82800,106700,112300,84300,88500
ZCTA5 26296,26296,19900,83800,69800,64000,104800,104200,-,-,-,-,-,-,-,-
ZCTA5 26298,26298,-,-,28800,29700,63600,85000,122900,126300,76700,-,-,94600,58800,-
ZCTA5 26301,26301,80100,78900,79600,79900,82900,86200,88200,89200,89700,94000,97000,117100,123500,133300
ZCTA5 26320,26320,77500,80200,77500,81400,97500,103000,111900,95000,106900,80400,81700,78500,79100,76800
ZCTA5 26321,26321,170400,63400,66400,62300,57700,-,-,-,-,-,-,92700,-,-
ZCTA5 26323,26323,65600,56100,52900,46100,46300,63800,66000,71500,69300,78200,58800,70000,68500,78600
ZCTA5 26325,26325,56800,53300,51600,55000,56100,57400,62100,64600,164400,167600,-,-,-,137500
ZCTA5 26327,26327,-,151500,-,-,-,-,-,-,-,105700,107500,-,-,-
ZCTA5 26330,26330,176600,180300,183100,179200,185000,187100,191700,199900,211900,213200,215500,245100,260900,271800
ZCTA5 26335,26335,72900,71200,70300,67600,73600,74400,84800,83200,83800,84500,67200,83800,101100,112900
ZCTA5 26337,26337,71400,74900,71400,57500,73600,75800,68200,78100,86800,73300,76600,93100,88800,103900
ZCTA5 26338,26338,80300,77300,74400,69400,72300,84000,81700,86300,85000,85800,81200,98700,115500,114300
ZCTA5 26339,26339,161100,168100,279200,275000,275000,302800,-,177600,179500,-,-,129800,189000,144900
ZCTA5 26342,26342,60000,68800,75500,90700,94100,112500,120000,98900,138000,131300,99600,113200,-,-
ZCTA5 26343,26343,62600,62800,64400,20800,,116000,124200,114700,103500,-,-,-,-,133000
ZCTA5 26346,26346,76000,77800,66900,62100,65000,65800,81100,105500,118800,119300,124600,120000,124700,142300
ZCTA5 26347,26347,68700,69500,78300,86000,83600,103800,113300,136400,124600,150000,160700,203000,-,112200
ZCTA5 26348,26348,41900,52100,23900,22100,,-,-,-,45900,64400,63600,63800,73200,73800
ZCTA5 26349,26349,51100,55400,59600,59600,,-,-,-,-,-,87400,-,-,112500
ZCTA5 26351,26351,85200,75800,77700,89400,91900,96700,100800,97400,98300,90800,92800,99300,87300,106500
ZCTA5 26354,26354,74400,81900,83300,80600,82900,87300,87200,89600,99900,107700,99600,117200,129300,136200
ZCTA5 26361,26361,31500,30900,32800,29400,30200,30500,31000,30200,31900,-,-,-,-,-
ZCTA5 26362,26362,80000,78600,73600,74900,81000,91700,107400,102800,106100,109300,103000,107700,110000,118700
ZCTA5 26366,26366,-,72900,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 26369,26369,63500,65600,67600,72600,63700,66100,76800,80800,87300,109800,113500,98000,125000,124400
ZCTA5 26372,26372,89200,122000,111100,105900,151800,156500,159100,167600,236100,322800,343200,430800,410100,343800
ZCTA5 26374,26374,108800,86100,75400,78600,115500,150900,150300,139300,119500,149500,145600,151300,142600,162300
ZCTA5 26376,26376,107100,108100,102600,63400,34400,-,40300,62400,61800,83300,143800,146400,230400,271400
ZCTA5 26377,26377,78200,69700,69500,67700,66900,72500,84200,88500,106400,109400,113500,120200,116300,99000
ZCTA5 26378,26378,103600,106700,111600,133200,146700,147000,155300,161100,163800,153100,166600,169900,172500,172900
ZCTA5 26384,26384,105600,50800,46000,40400,32600,45500,-,74100,81000,78800,106900,103300,179300,-
ZCTA5 26385,26385,111700,103800,104100,103500,105200,108500,120800,126600,136300,136000,127900,151200,155100,165800
ZCTA5 26386,26386,74600,78200,80000,76300,76800,84800,86100,86700,85100,110000,103400,131000,162900,186800
ZCTA5 26404,26404,36000,30500,34500,65000,91700,94400,98600,-,-,53500,-,65100,65200,75100
ZCTA5 26405,26405,119900,91100,79300,59500,88600,82500,103400,-,150000,110700,131300,151500,98800,115400
ZCTA5 26408,26408,153200,158300,160700,154600,151300,162300,165200,163400,176800,181500,179700,218100,236100,227400
ZCTA5 26410,26410,72900,78900,78200,82600,74000,79200,73500,89200,99000,101500,84700,105800,112800,57900
ZCTA5 26411,26411,78200,91300,83800,86300,82700,83000,66200,130000,160300,155000,158200,156100,152500,158600
ZCTA5 26412,26412,50200,77300,80900,64600,58400,56600,59700,63400,53800,69300,120800,137500,-,105000
ZCTA5 26415,26415,67600,72600,76000,72700,75500,94300,86200,87700,88700,88300,85700,99600,105800,109000
ZCTA5 26416,26416,92100,98200,98500,99500,106500,110600,110400,115000,111900,113300,112400,132000,136500,152200
ZCTA5 26419,26419,73900,74800,67500,73900,72400,78100,79200,102600,100400,89300,89300,98200,95100,93400
ZCTA5 26421,26421,50300,52000,52300,54100,58700,-,-,-,-,-,-,237500,-,-
ZCTA5 26422,26422,107500,104900,104300,105500,84300,80000,-,-,-,77400,76500,86100,102300,113300
ZCTA5 26424,26424,48600,49100,49500,63600,71100,71400,71200,71000,55700,-,-,-,-,-
ZCTA5 26425,26425,69200,58400,55400,53700,56200,56600,63200,63300,80600,81200,81900,84800,91000,93400
ZCTA5 26426,26426,86400,88900,82600,84900,87300,90200,94500,106900,103300,108900,110000,113600,117700,145800
ZCTA5 26430,26430,63000,59400,59400,64700,109900,115500,137500,-,-,102100,117900,149200,117500,104400
ZCTA5 26431,26431,87900,86500,84000,77800,87400,91100,102500,103300,113700,119300,118700,119600,138700,149900
ZCTA5 26435,26435,45800,75800,-,75000,,67700,56800,62500,57200,70500,112500,-,-,-
ZCTA5 26436,26436,80900,-,-,-,-,86700,85200,88600,83500,83500,74100,83000,58900,155400
ZCTA5 26437,26437,49200,47600,49300,43700,46500,44400,75900,75000,-,83900,83700,90700,93900,92800
ZCTA5 26438,26438,24200,51600,21900,22300,,42300,43300,45500,61000,-,39100,-,-,-
ZCTA5 26440,26440,88800,102700,115700,109400,105000,106900,107500,97400,99600,124700,120500,157500,187100,216800
ZCTA5 26443,26443,-,77500,78100,78900,83300,85500,87800,92800,95800,-,57500,-,-,-
ZCTA5 26444,26444,68300,69500,72800,83000,81200,86200,85900,74100,81600,80700,77700,97500,111000,119800
ZCTA5 26447,26447,98000,125900,96600,95700,79500,58400,58300,68500,59800,100300,123800,154000,182000,207900
ZCTA5 26448,26448,87900,62900,55100,56300,59500,66200,82300,89200,108400,105600,87000,86200,85400,77800
ZCTA5 26451,26451,78200,79900,76700,77800,76800,83100,93500,128600,116700,130100,121800,122300,130500,127800
ZCTA5 26452,26452,88300,87100,86300,88100,87900,85300,85900,91600,93700,97000,99100,113100,112500,128300
ZCTA5 26456,26456,77900,77900,77900,87000,89100,95100,105700,113600,112900,115900,120400,151500,172300,164400
ZCTA5 26463,26463,,,,,,,,,,,-,136300,201000,250000
ZCTA5 26501,26501,125400,126400,130900,137900,148900,155300,160600,164900,171800,174900,183100,201700,213000,219800
ZCTA5 26505,26505,174200,177100,174400,172600,176700,181300,185400,203700,215100,228100,232100,258400,265100,278000
ZCTA5 26506,26506,,,,,,,,,,,-,-,-,-
ZCTA5 26508,26508,181000,180900,190400,191300,193900,200800,218400,230100,239800,246700,252800,277700,287700,311500
ZCTA5 26519,26519,108300,111100,107700,109300,90300,85600,75100,75000,69700,85300,89200,160500,111200,128500
ZCTA5 26520,26520,119400,144700,125900,155000,164500,161200,151800,150500,137900,78500,124100,-,201300,198400
ZCTA5 26521,26521,67300,61400,107500,83300,91000,97700,94200,94100,97300,189800,-,-,112500,70000
ZCTA5 26524,26524,,,,,,,,,,,-,162500,157000,112500
ZCTA5 26525,26525,147400,144800,146700,157700,160400,156000,156600,160100,159700,167400,165000,186400,203300,216100
ZCTA5 26534,26534,81500,75900,77400,100100,102300,78100,75600,76700,74000,83200,85400,119900,135400,138300
ZCTA5 26537,26537,109600,110900,116400,117600,125100,125900,126700,120800,127600,127200,138700,158700,169000,169900
ZCTA5 26541,26541,102200,99400,94300,96200,96600,92600,97700,103700,127600,186600,189800,209400,228200,236400
ZCTA5 26542,26542,86500,98100,105200,103300,86600,86500,90600,105100,116100,119200,135800,141500,152300,152000
ZCTA5 26543,26543,53100,52000,35900,36500,-,75600,-,-,-,-,-,-,-,-
ZCTA5 26544,26544,,,,,,,,,,,-,-,-,-
ZCTA5 26546,26546,,,,,,,,,,,-,866800,-,-
ZCTA5 26547,26547,83500,95200,102700,110400,112200,116500,119000,113700,120200,161500,157000,164700,185900,204000
ZCTA5 26554,26554,98100,97800,101400,105200,115800,122700,123200,125700,131500,137700,139700,160100,181800,183900
ZCTA5 26559,26559,100900,103000,104500,98200,105900,119700,135100,128500,146200,133800,136300,155700,159000,166900
ZCTA5 26560,26560,-,47800,-,40700,41100,-,-,-,-,-,-,-,93500,93700
ZCTA5 26562,26562,75900,68300,69800,69000,67100,73500,-,-,-,-,83000,79000,-,87300
ZCTA5 26563,26563,51900,55000,28500,43900,53300,53600,-,50000,53700,-,93900,117500,80500,-
ZCTA5 26568,26568,84400,83000,81300,70500,73900,75900,77800,80800,82800,78000,72400,83800,84700,89500
ZCTA5 26570,26570,81600,84900,84500,84400,89800,88800,86700,96000,112800,133000,141300,151900,152500,155800
ZCTA5 26571,26571,67000,67400,71100,67500,66500,69600,70000,67700,71300,95400,97900,100600,133200,141500
ZCTA5 26572,26572,25000,38300,37100,37500,40900,44200,-,43300,43400,-,-,52000,54500,-
ZCTA5 26574,26574,73700,72800,73100,67500,65900,56300,58100,63400,68500,75000,74800,86400,90300,105000
ZCTA5 26575,26575,71200,79900,77600,81200,96300,113700,107200,92500,112800,84500,80700,93300,90300,90200
ZCTA5 26576,26576,73600,72600,91400,53100,90300,70700,85600,84200,86800,106300,106700,106800,113800,111200
ZCTA5 26581,26581,75900,73000,68600,75500,54200,53700,54600,54800,105200,59500,-,-,-,71800
ZCTA5 26582,26582,82300,83200,80000,77500,78400,78700,78300,83200,85600,87800,89800,102500,101000,100700
ZCTA5 26585,26585,80800,102900,108000,111700,125000,134500,146600,141500,145100,130800,164600,164000,206300,171300
ZCTA5 26586,26586,-,-,-,-,-,-,85900,85200,89700,-,-,-,280600,-
ZCTA5 26587,26587,90400,92300,91700,94700,95500,79000,77300,-,77300,71900,77200,83700,58300,85200
ZCTA5 26588,26588,75000,75300,78400,100900,117000,122800,124100,130800,123100,135200,151000,161700,179800,173300
ZCTA5 26590,26590,74500,103800,116600,119200,113200,110000,127000,94100,115700,-,-,133500,-,340700
ZCTA5 26591,26591,68000,68600,75200,77700,80000,87700,100000,121800,115100,108800,103800,113600,112300,124000
ZCTA5 26601,26601,84800,80600,82000,90300,84900,90900,109600,104900,91400,116600,102400,101500,121200,116600
