Geographic_Area_Name,zipCode,Charged_for_other_fuels!!$250_to_$749_2021,Charged_for_other_fuels!!$250_to_$749_2022,Charged_for_other_fuels!!$250_to_$749_2023,Charged_for_other_fuels!!$750+units_2021,Charged_for_other_fuels!!$750+units_2022,Charged_for_other_fuels!!$750+units_2023,Charged_for_other_fuels!!Less_than_$250_2021,Charged_for_other_fuels!!Less_than_$250_2022,Charged_for_other_fuels!!Less_than_$250_2023,Charged_for_other_fuels_2021,Charged_for_other_fuels_2022,Charged_for_other_fuels_2023,"Not_charged,_not_used,_or_payment_included_in_other_fees_2021","Not_charged,_not_used,_or_payment_included_in_other_fees_2022","Not_charged,_not_used,_or_payment_included_in_other_fees_2023",Total_2021,Total_2022,Total_2023
ZCTA5 82443,82443,198,190,181,115,112,83,79,83,75,392,385,339,1656,1679,1689,2048,2064,2028
ZCTA5 82450,82450,0,0,0,0,0,0,19,24,0,19,24,0,61,65,50,80,89,50
ZCTA5 82501,82501,486,478,369,408,449,533,102,115,127,996,1042,1029,5950,5954,6028,6946,6996,7057
ZCTA5 82510,82510,9,15,8,15,18,16,10,7,6,34,40,30,211,197,202,245,237,232
ZCTA5 82512,82512,23,31,30,35,33,33,5,0,0,63,64,63,95,97,104,158,161,167
ZCTA5 82513,82513,184,246,221,68,52,56,84,88,88,336,386,365,455,435,533,791,821,898
ZCTA5 82514,82514,19,22,32,23,37,31,6,6,6,48,65,69,370,307,284,418,372,353
ZCTA5 82515,82515,24,15,8,10,9,5,9,13,12,43,37,25,117,147,133,160,184,158
ZCTA5 82516,82516,26,29,29,14,22,34,16,5,4,56,56,67,79,64,60,135,120,127
ZCTA5 82520,82520,590,468,547,276,325,336,203,178,209,1069,971,1092,3777,3900,3910,4846,4871,5002
ZCTA5 82523,82523,25,22,36,64,73,72,20,20,14,109,115,122,215,235,238,324,350,360
ZCTA5 82601,82601,511,456,367,354,328,353,237,233,249,1102,1017,969,10081,10075,10111,11183,11092,11080
ZCTA5 82604,82604,466,590,550,447,518,528,490,315,300,1403,1423,1378,9091,9364,9617,10494,10787,10995
ZCTA5 82609,82609,101,83,77,160,125,137,36,51,71,297,259,285,8062,8148,8186,8359,8407,8471
ZCTA5 82620,82620,0,0,0,19,20,24,0,0,0,19,20,24,92,90,85,111,110,109
ZCTA5 82630,82630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 82633,82633,320,293,228,77,92,95,188,192,218,585,577,541,3457,3487,3490,4042,4064,4031
ZCTA5 82635,82635,0,0,8,0,0,0,0,0,0,0,0,8,43,49,31,43,49,39
ZCTA5 82636,82636,52,33,49,38,20,81,76,25,13,166,78,143,1325,1345,1368,1491,1423,1511
ZCTA5 82637,82637,152,109,69,94,67,75,61,62,65,307,238,209,1292,1340,1455,1599,1578,1664
ZCTA5 82638,82638,0,0,0,0,0,0,0,0,0,0,0,0,17,18,18,17,18,18
ZCTA5 82639,82639,19,15,12,1,7,7,10,50,40,30,72,59,243,303,254,273,375,313
ZCTA5 82640,82640,0,0,9,0,0,0,0,0,0,0,0,9,77,73,71,77,73,80
ZCTA5 82642,82642,0,0,0,3,4,4,0,0,0,3,4,4,24,30,29,27,34,33
ZCTA5 82643,82643,0,0,0,23,27,29,1,2,2,24,29,31,82,95,96,106,124,127
ZCTA5 82644,82644,92,92,63,22,25,0,25,16,0,139,133,63,627,678,847,766,811,910
ZCTA5 82646,82646,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,13,13,0
ZCTA5 82648,82648,0,0,0,0,0,0,0,0,0,0,0,0,35,45,8,35,45,8
ZCTA5 82649,82649,31,23,35,20,34,36,8,14,8,59,71,79,366,378,340,425,449,419
ZCTA5 82701,82701,101,153,148,110,93,127,61,71,118,272,317,393,1713,1567,1631,1985,1884,2024
ZCTA5 82710,82710,16,16,0,0,0,10,8,12,0,24,28,10,74,123,106,98,151,116
ZCTA5 82711,82711,0,0,0,0,0,0,0,0,0,0,0,0,10,9,11,10,9,11
ZCTA5 82712,82712,48,28,0,0,0,0,0,0,0,48,28,0,92,123,147,140,151,147
ZCTA5 82714,82714,0,0,0,0,0,0,0,0,0,0,0,0,0,7,46,0,7,46
ZCTA5 82716,82716,175,167,129,243,276,324,149,231,488,567,674,941,6216,6387,5970,6783,7061,6911
ZCTA5 82718,82718,422,543,410,230,305,228,177,136,199,829,984,837,7960,8033,8552,8789,9017,9389
ZCTA5 82720,82720,34,53,47,19,31,31,28,43,32,81,127,110,220,195,251,301,322,361
ZCTA5 82721,82721,138,98,128,74,67,67,64,60,47,276,225,242,791,779,857,1067,1004,1099
ZCTA5 82723,82723,0,0,0,8,8,6,0,0,0,8,8,6,63,65,64,71,73,70
ZCTA5 82725,82725,16,19,0,0,0,0,0,0,0,16,19,0,86,22,9,102,41,9
ZCTA5 82727,82727,0,79,46,60,19,10,45,0,0,105,98,56,574,597,749,679,695,805
ZCTA5 82729,82729,53,58,52,80,132,186,84,86,66,217,276,304,918,805,754,1135,1081,1058
ZCTA5 82730,82730,32,33,0,55,12,27,41,31,66,128,76,93,673,632,571,801,708,664
ZCTA5 82731,82731,0,0,20,0,0,0,0,0,0,0,0,20,85,50,60,85,50,80
ZCTA5 82732,82732,0,18,29,0,0,61,13,0,0,13,18,90,725,601,564,738,619,654
ZCTA5 82801,82801,335,302,237,206,259,291,280,348,326,821,909,854,9950,9904,10274,10771,10813,11128
ZCTA5 82831,82831,9,9,7,5,5,21,20,13,17,34,27,45,70,46,42,104,73,87
ZCTA5 82832,82832,90,81,79,65,38,19,0,0,0,155,119,98,355,382,451,510,501,549
ZCTA5 82833,82833,47,0,0,0,66,56,0,0,0,47,66,56,92,58,107,139,124,163
ZCTA5 82834,82834,224,153,165,116,121,64,82,131,123,422,405,352,2976,3087,3137,3398,3492,3489
ZCTA5 82835,82835,17,5,11,10,0,3,0,0,2,27,5,16,117,121,113,144,126,129
ZCTA5 82836,82836,30,27,46,21,23,29,16,27,23,67,77,98,313,306,313,380,383,411
ZCTA5 82837,82837,3,4,6,0,0,0,0,0,0,3,4,6,10,12,10,13,16,16
ZCTA5 82838,82838,20,11,15,10,9,9,0,0,0,30,20,24,205,200,167,235,220,191
ZCTA5 82839,82839,77,72,81,15,93,102,49,44,40,141,209,223,394,332,342,535,541,565
ZCTA5 82842,82842,30,36,36,53,53,60,0,0,20,83,89,116,150,197,180,233,286,296
ZCTA5 82844,82844,0,0,0,0,0,0,0,0,0,0,0,0,20,10,11,20,10,11
ZCTA5 82845,82845,0,0,0,0,0,0,0,7,12,0,7,12,26,34,36,26,41,48
ZCTA5 82901,82901,290,281,205,105,136,112,151,81,158,546,498,475,9679,10297,10762,10225,10795,11237
