Geographic_Area_Name,zipCode,Charged_for_other_fuels!!$250_to_$749_2021,Charged_for_other_fuels!!$250_to_$749_2022,Charged_for_other_fuels!!$250_to_$749_2023,Charged_for_other_fuels!!$750+units_2021,Charged_for_other_fuels!!$750+units_2022,Charged_for_other_fuels!!$750+units_2023,Charged_for_other_fuels!!Less_than_$250_2021,Charged_for_other_fuels!!Less_than_$250_2022,Charged_for_other_fuels!!Less_than_$250_2023,Charged_for_other_fuels_2021,Charged_for_other_fuels_2022,Charged_for_other_fuels_2023,"Not_charged,_not_used,_or_payment_included_in_other_fees_2021","Not_charged,_not_used,_or_payment_included_in_other_fees_2022","Not_charged,_not_used,_or_payment_included_in_other_fees_2023",Total_2021,Total_2022,Total_2023
ZCTA5 01001,01001,175,113,154,1095,1111,1114,111,83,66,1381,1307,1334,5410,5304,5479,6791,6611,6813
ZCTA5 01002,01002,500,361,431,1923,1679,1938,311,234,246,2734,2274,2615,7251,6508,7100,9985,8782,9715
ZCTA5 01003,01003,0,0,0,0,0,0,0,0,0,0,0,0,15,19,34,15,19,34
ZCTA5 01005,01005,191,126,80,944,940,854,116,91,115,1251,1157,1049,510,524,639,1761,1681,1688
ZCTA5 01007,01007,528,367,367,2651,2905,2840,199,204,286,3378,3476,3493,2539,2970,2936,5917,6446,6429
ZCTA5 01008,01008,72,71,80,249,270,277,10,6,4,331,347,361,175,184,224,506,531,585
ZCTA5 01009,01009,68,71,72,177,154,168,0,0,0,245,225,240,88,82,127,333,307,367
ZCTA5 01010,01010,118,106,105,732,744,678,103,100,101,953,950,884,550,530,595,1503,1480,1479
ZCTA5 01011,01011,45,69,78,224,235,224,41,9,6,310,313,308,188,199,138,498,512,446
ZCTA5 01012,01012,30,24,28,104,79,45,0,0,0,134,103,73,93,95,91,227,198,164
ZCTA5 01013,01013,226,184,179,1601,1915,2028,60,19,21,1887,2118,2228,7488,7232,7321,9375,9350,9549
ZCTA5 01020,01020,706,585,711,2692,2581,2462,202,189,201,3600,3355,3374,9800,9956,10204,13400,13311,13578
ZCTA5 01022,01022,15,33,34,74,70,57,12,0,0,101,103,91,981,974,978,1082,1077,1069
ZCTA5 01026,01026,92,88,73,153,152,150,21,17,14,266,257,237,188,222,206,454,479,443
ZCTA5 01027,01027,415,386,436,2135,2020,1834,162,156,134,2712,2562,2404,5739,6044,6172,8451,8606,8576
ZCTA5 01028,01028,122,113,185,923,880,726,102,109,121,1147,1102,1032,4870,4873,4825,6017,5975,5857
ZCTA5 01029,01029,7,10,11,97,103,132,23,19,18,127,132,161,101,109,144,228,241,305
ZCTA5 01030,01030,262,268,249,854,820,910,80,99,100,1196,1187,1259,3798,3779,3720,4994,4966,4979
ZCTA5 01031,01031,18,20,22,328,342,379,0,0,0,346,362,401,262,314,296,608,676,697
ZCTA5 01032,01032,35,26,15,83,114,122,22,23,18,140,163,155,58,69,92,198,232,247
ZCTA5 01033,01033,239,132,128,1299,1484,1535,153,150,116,1691,1766,1779,839,920,760,2530,2686,2539
ZCTA5 01034,01034,130,103,107,365,399,400,32,38,38,527,540,545,303,303,332,830,843,877
ZCTA5 01035,01035,244,185,171,918,942,871,30,25,26,1192,1152,1068,1062,1171,1225,2254,2323,2293
ZCTA5 01036,01036,231,264,220,562,547,536,49,58,6,842,869,762,1174,1102,1203,2016,1971,1965
ZCTA5 01037,01037,26,23,26,161,184,152,25,16,16,212,223,194,45,34,52,257,257,246
ZCTA5 01038,01038,19,49,89,324,303,272,29,20,27,372,372,388,739,686,674,1111,1058,1062
ZCTA5 01039,01039,112,113,111,346,356,318,30,21,19,488,490,448,221,230,245,709,720,693
ZCTA5 01040,01040,271,223,168,1488,1509,1414,130,87,81,1889,1819,1663,13173,13293,13861,15062,15112,15524
ZCTA5 01050,01050,222,152,115,530,574,578,25,33,35,777,759,728,295,343,291,1072,1102,1019
ZCTA5 01053,01053,9,18,27,68,57,60,67,66,55,144,141,142,568,601,649,712,742,791
ZCTA5 01054,01054,157,125,100,295,365,386,53,57,53,505,547,539,203,191,175,708,738,714
ZCTA5 01056,01056,530,403,350,2368,2429,2474,68,23,51,2966,2855,2875,5601,5647,5627,8567,8502,8502
ZCTA5 01057,01057,235,148,106,1878,1973,1783,126,77,40,2239,2198,1929,1246,1275,1514,3485,3473,3443
ZCTA5 01060,01060,117,113,106,409,425,499,216,216,205,742,754,810,6318,6637,6671,7060,7391,7481
ZCTA5 01062,01062,317,390,359,745,752,609,181,166,166,1243,1308,1134,2919,2870,3082,4162,4178,4216
ZCTA5 01063,01063,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,5,6,6
ZCTA5 01066,01066,26,31,27,8,38,33,0,0,0,34,69,60,0,0,0,34,69,60
ZCTA5 01068,01068,77,70,56,336,355,384,25,27,23,438,452,463,187,161,177,625,613,640
ZCTA5 01069,01069,581,404,434,1559,1885,2034,107,83,104,2247,2372,2572,1485,1476,1464,3732,3848,4036
ZCTA5 01070,01070,35,32,24,103,104,127,8,8,5,146,144,156,112,117,91,258,261,247
ZCTA5 01071,01071,65,61,40,291,317,361,22,10,3,378,388,404,140,142,132,518,530,536
ZCTA5 01072,01072,86,91,91,259,266,277,47,49,40,392,406,408,217,208,197,609,614,605
ZCTA5 01073,01073,162,125,112,540,476,499,98,139,124,800,740,735,1518,1756,1729,2318,2496,2464
ZCTA5 01074,01074,29,29,29,82,151,144,0,0,0,111,180,173,46,0,58,157,180,231
ZCTA5 01075,01075,252,296,290,1568,1449,1365,180,192,160,2000,1937,1815,5328,5379,5431,7328,7316,7246
ZCTA5 01077,01077,297,265,255,1307,1484,1417,96,40,29,1700,1789,1701,1948,1902,2109,3648,3691,3810
ZCTA5 01079,01079,0,0,0,161,153,81,0,0,0,161,153,81,76,109,57,237,262,138
ZCTA5 01080,01080,141,90,113,448,573,541,27,0,0,616,663,654,279,326,353,895,989,1007
ZCTA5 01081,01081,119,122,121,351,389,383,27,9,10,497,520,514,211,172,164,708,692,678
ZCTA5 01082,01082,468,421,475,2275,2428,2309,183,153,160,2926,3002,2944,1763,1841,1703,4689,4843,4647
ZCTA5 01083,01083,36,23,110,338,302,291,25,0,0,399,325,401,535,578,707,934,903,1108
ZCTA5 01084,01084,10,4,7,31,32,27,3,4,0,44,40,34,0,10,16,44,50,50
ZCTA5 01085,01085,972,875,1029,3811,3989,3834,227,204,198,5010,5068,5061,10598,10699,10933,15608,15767,15994
ZCTA5 01088,01088,8,8,8,45,69,28,8,7,8,61,84,44,284,306,281,345,390,325
ZCTA5 01089,01089,358,253,229,1162,1240,1245,168,69,52,1688,1562,1526,11046,11129,11072,12734,12691,12598
ZCTA5 01092,01092,27,34,0,110,185,132,0,0,0,137,219,132,395,399,452,532,618,584
ZCTA5 01093,01093,0,8,8,57,56,87,8,0,0,65,64,95,5,5,3,70,69,98
ZCTA5 01094,01094,0,0,0,26,10,14,0,0,0,26,10,14,5,3,2,31,13,16
ZCTA5 01095,01095,245,208,122,1654,1660,1805,109,112,114,2008,1980,2041,3409,3402,3336,5417,5382,5377
ZCTA5 01096,01096,137,153,146,518,533,484,30,34,17,685,720,647,373,387,424,1058,1107,1071
ZCTA5 01097,01097,0,0,0,9,0,0,0,0,0,9,0,0,17,17,14,26,17,14
ZCTA5 01098,01098,36,40,32,195,217,225,24,26,20,255,283,277,255,184,219,510,467,496
ZCTA5 01103,01103,0,0,0,43,41,14,0,0,0,43,41,14,1391,1455,1536,1434,1496,1550
ZCTA5 01104,01104,485,437,441,1143,1072,1075,54,77,89,1682,1586,1605,7526,7517,7239,9208,9103,8844
ZCTA5 01105,01105,0,0,0,191,231,145,0,0,0,191,231,145,5015,4787,4751,5206,5018,4896
ZCTA5 01106,01106,131,149,222,686,707,628,121,143,160,938,999,1010,5077,4977,4878,6015,5976,5888
ZCTA5 01107,01107,29,7,6,314,249,220,0,107,97,343,363,323,3891,3927,3841,4234,4290,4164
ZCTA5 01108,01108,205,136,136,889,893,790,89,23,26,1183,1052,952,9030,9453,9600,10213,10505,10552
ZCTA5 01109,01109,154,87,115,827,917,1054,41,127,98,1022,1131,1267,8484,8492,8479,9506,9623,9746
ZCTA5 01118,01118,195,191,256,916,920,935,50,50,36,1161,1161,1227,4624,4563,4403,5785,5724,5630
ZCTA5 01119,01119,181,156,146,795,898,733,24,40,34,1000,1094,913,4230,4079,4308,5230,5173,5221
ZCTA5 01128,01128,111,123,110,217,205,170,26,26,32,354,354,312,782,748,805,1136,1102,1117
ZCTA5 01129,01129,84,35,53,372,376,360,12,16,15,468,427,428,2055,2234,2154,2523,2661,2582
ZCTA5 01144,01144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 01151,01151,75,55,16,376,406,367,9,10,0,460,471,383,3204,3144,3223,3664,3615,3606
ZCTA5 01201,01201,703,496,349,4093,4111,4215,279,169,136,5075,4776,4700,14877,15098,15499,19952,19874,20199
ZCTA5 01220,01220,126,90,32,1089,1061,1137,49,75,72,1264,1226,1241,2684,2815,2840,3948,4041,4081
ZCTA5 01222,01222,29,6,18,103,124,121,29,21,16,161,151,155,128,87,77,289,238,232
ZCTA5 01223,01223,109,113,115,630,610,574,61,62,62,800,785,751,423,396,450,1223,1181,1201
ZCTA5 01224,01224,13,11,11,37,32,65,0,0,0,50,43,76,30,13,12,80,56,88
ZCTA5 01225,01225,92,77,83,432,562,492,27,28,27,551,667,602,958,880,911,1509,1547,1513
ZCTA5 01226,01226,144,174,166,888,905,840,15,31,37,1047,1110,1043,1860,1774,1788,2907,2884,2831
ZCTA5 01229,01229,0,0,0,17,15,15,3,3,4,20,18,19,68,65,68,88,83,87
ZCTA5 01230,01230,152,159,174,1363,1230,1134,163,130,183,1678,1519,1491,2115,2257,2161,3793,3776,3652
ZCTA5 01235,01235,125,84,106,435,467,479,35,18,18,595,569,603,509,490,466,1104,1059,1069
ZCTA5 01236,01236,34,75,81,296,283,301,3,3,3,333,361,385,371,258,265,704,619,650
ZCTA5 01237,01237,52,56,94,461,469,456,3,4,3,516,529,553,503,513,439,1019,1042,992
ZCTA5 01238,01238,172,202,244,604,545,453,15,2,26,791,749,723,1501,1823,1988,2292,2572,2711
ZCTA5 01240,01240,101,37,26,332,325,369,16,28,43,449,390,438,1709,1849,1851,2158,2239,2289
ZCTA5 01242,01242,0,0,0,15,0,0,0,0,0,15,0,0,78,70,41,93,70,41
ZCTA5 01243,01243,14,7,6,40,37,50,8,9,10,62,53,66,18,19,20,80,72,86
ZCTA5 01244,01244,21,29,41,44,33,24,3,3,10,68,65,75,0,9,37,68,74,112
ZCTA5 01245,01245,21,16,16,183,182,166,11,12,17,215,210,199,140,125,123,355,335,322
ZCTA5 01247,01247,284,214,197,1797,1889,1813,103,122,104,2184,2225,2114,4343,4558,4609,6527,6783,6723
ZCTA5 01253,01253,68,42,39,183,176,175,11,11,13,262,229,227,172,148,176,434,377,403
ZCTA5 01254,01254,26,22,27,153,163,156,44,48,47,223,233,230,217,207,201,440,440,431
ZCTA5 01255,01255,24,33,37,137,158,131,29,28,30,190,219,198,119,136,137,309,355,335
ZCTA5 01256,01256,57,45,53,161,156,199,35,30,38,253,231,290,77,74,76,330,305,366
ZCTA5 01257,01257,82,70,67,413,402,437,21,37,22,516,509,526,497,502,536,1013,1011,1062
ZCTA5 01258,01258,14,9,6,37,32,37,3,8,10,54,49,53,23,32,32,77,81,85
ZCTA5 01259,01259,27,30,21,164,140,131,20,14,19,211,184,171,81,82,113,292,266,284
ZCTA5 01260,01260,8,9,9,73,0,0,0,0,0,81,9,9,0,0,0,81,9,9
ZCTA5 01262,01262,0,8,11,168,195,225,14,15,8,182,218,244,506,497,418,688,715,662
ZCTA5 01264,01264,11,4,3,37,43,40,2,0,0,50,47,43,50,51,42,100,98,85
ZCTA5 01266,01266,18,22,29,186,216,211,18,13,9,222,251,249,199,205,205,421,456,454
ZCTA5 01267,01267,173,191,147,764,739,689,66,54,80,1003,984,916,1538,1751,1808,2541,2735,2724
ZCTA5 01270,01270,22,28,16,127,148,167,13,18,15,162,194,198,210,204,201,372,398,399
ZCTA5 01301,01301,496,467,550,1964,2036,2092,128,186,135,2588,2689,2777,5602,5536,5514,8190,8225,8291
ZCTA5 01330,01330,101,112,153,273,303,318,38,34,30,412,449,501,292,310,333,704,759,834
ZCTA5 01331,01331,448,353,347,2426,2706,2741,123,104,122,2997,3163,3210,2453,2249,2215,5450,5412,5425
ZCTA5 01337,01337,126,146,112,470,493,482,45,32,29,641,671,623,366,373,455,1007,1044,1078
ZCTA5 01338,01338,5,0,0,41,30,32,14,14,0,60,44,32,3,4,15,63,48,47
ZCTA5 01339,01339,59,61,58,312,347,348,29,32,31,400,440,437,227,194,178,627,634,615
ZCTA5 01340,01340,99,109,85,378,359,341,33,51,53,510,519,479,287,316,332,797,835,811
ZCTA5 01341,01341,111,99,96,333,323,300,18,14,28,462,436,424,268,278,276,730,714,700
ZCTA5 01342,01342,39,16,0,87,127,118,15,14,31,141,157,149,202,236,298,343,393,447
ZCTA5 01343,01343,6,7,6,43,47,52,0,0,0,49,54,58,11,18,23,60,72,81
ZCTA5 01344,01344,73,74,82,293,298,321,18,17,0,384,389,403,297,288,282,681,677,685
ZCTA5 01346,01346,25,30,46,54,53,52,4,5,4,83,88,102,97,115,130,180,203,232
ZCTA5 01347,01347,0,0,0,36,35,8,0,0,0,36,35,8,60,66,64,96,101,72
ZCTA5 01349,01349,13,3,3,87,100,111,0,0,0,100,103,114,227,240,244,327,343,358
ZCTA5 01350,01350,13,14,14,35,30,20,0,0,0,48,44,34,4,9,21,52,53,55
ZCTA5 01351,01351,178,158,202,568,544,447,17,17,7,763,719,656,283,315,342,1046,1034,998
ZCTA5 01354,01354,87,76,64,266,294,312,42,49,56,395,419,432,207,208,226,602,627,658
ZCTA5 01355,01355,64,43,42,252,272,243,25,16,13,341,331,298,72,81,101,413,412,399
ZCTA5 01360,01360,147,123,154,580,627,655,80,68,67,807,818,876,406,407,395,1213,1225,1271
ZCTA5 01364,01364,334,316,274,1424,1505,1496,65,78,48,1823,1899,1818,1198,1145,1281,3021,3044,3099
ZCTA5 01366,01366,62,64,47,224,229,247,19,24,28,305,317,322,153,144,141,458,461,463
ZCTA5 01367,01367,27,26,26,94,102,106,5,5,7,126,133,139,52,65,78,178,198,217
ZCTA5 01368,01368,114,92,86,276,302,335,12,20,17,402,414,438,149,124,107,551,538,545
ZCTA5 01370,01370,222,181,185,715,731,668,67,76,74,1004,988,927,690,753,782,1694,1741,1709
ZCTA5 01373,01373,237,198,156,704,773,849,14,14,15,955,985,1020,1400,1324,1281,2355,2309,2301
ZCTA5 01375,01375,93,56,39,323,397,377,37,42,42,453,495,458,1213,1270,1330,1666,1765,1788
ZCTA5 01376,01376,69,77,105,620,534,519,57,70,50,746,681,674,1566,1608,1622,2312,2289,2296
ZCTA5 01378,01378,68,65,63,168,194,217,25,18,16,261,277,296,58,71,82,319,348,378
ZCTA5 01379,01379,77,69,60,141,136,126,27,26,27,245,231,213,136,135,113,381,366,326
ZCTA5 01380,01380,14,7,7,0,2,8,0,0,0,14,9,15,0,0,0,14,9,15
ZCTA5 01420,01420,551,513,441,3079,3066,3364,242,243,187,3872,3822,3992,12511,12878,12941,16383,16700,16933
ZCTA5 01430,01430,185,123,138,900,967,955,16,19,24,1101,1109,1117,1040,1210,1249,2141,2319,2366
ZCTA5 01431,01431,137,123,115,615,599,617,30,56,45,782,778,777,515,463,487,1297,1241,1264
ZCTA5 01432,01432,66,74,53,409,455,408,37,31,13,512,560,474,3048,3070,3036,3560,3630,3510
ZCTA5 01434,01434,0,0,0,56,0,0,0,0,25,56,0,25,259,278,303,315,278,328
ZCTA5 01436,01436,84,96,72,691,696,738,59,66,0,834,858,810,428,417,470,1262,1275,1280
ZCTA5 01438,01438,0,0,9,56,71,81,39,33,0,95,104,90,29,29,29,124,133,119
ZCTA5 01440,01440,669,633,559,2454,2666,2614,137,145,160,3260,3444,3333,5644,5495,5688,8904,8939,9021
ZCTA5 01450,01450,298,359,235,1635,1541,1630,37,52,60,1970,1952,1925,1850,1748,1734,3820,3700,3659
ZCTA5 01451,01451,71,111,115,644,669,720,88,72,7,803,852,842,865,914,965,1668,1766,1807
ZCTA5 01452,01452,246,247,299,737,737,754,39,25,18,1022,1009,1071,564,544,559,1586,1553,1630
ZCTA5 01453,01453,598,666,569,3763,4178,4210,184,282,252,4545,5126,5031,13351,13278,13117,17896,18404,18148
ZCTA5 01460,01460,149,96,53,1268,1238,1168,99,103,58,1516,1437,1279,1988,2120,2358,3504,3557,3637
ZCTA5 01462,01462,257,217,160,1832,1826,1773,167,179,170,2256,2222,2103,2191,2382,2435,4447,4604,4538
ZCTA5 01463,01463,420,411,384,1189,1260,1177,74,45,81,1683,1716,1642,2687,2623,2680,4370,4339,4322
ZCTA5 01464,01464,199,166,150,818,831,883,69,53,45,1086,1050,1078,1259,1420,1326,2345,2470,2404
ZCTA5 01468,01468,79,83,129,816,839,810,124,110,49,1019,1032,988,603,626,649,1622,1658,1637
ZCTA5 01469,01469,329,289,288,540,543,534,46,96,80,915,928,902,1916,1869,1757,2831,2797,2659
ZCTA5 01473,01473,344,276,313,1071,1290,1176,72,81,87,1487,1647,1576,1635,1601,1699,3122,3248,3275
ZCTA5 01474,01474,71,92,89,248,283,370,26,0,0,345,375,459,335,332,318,680,707,777
ZCTA5 01475,01475,578,508,533,1444,1401,1405,51,56,103,2073,1965,2041,1653,1623,1739,3726,3588,3780
ZCTA5 01501,01501,448,395,336,2941,2922,2901,166,142,145,3555,3459,3382,2979,3213,3440,6534,6672,6822
ZCTA5 01503,01503,60,48,21,418,504,462,49,64,28,527,616,511,784,816,936,1311,1432,1447
ZCTA5 01504,01504,207,236,217,1549,1443,1416,72,72,32,1828,1751,1665,2046,2123,2304,3874,3874,3969
ZCTA5 01505,01505,151,153,173,628,677,725,35,65,46,814,895,944,1020,969,988,1834,1864,1932
ZCTA5 01506,01506,207,193,143,495,582,588,104,116,141,806,891,872,589,554,601,1395,1445,1473
ZCTA5 01507,01507,463,403,386,2090,2323,2359,191,144,148,2744,2870,2893,2032,1963,2084,4776,4833,4977
ZCTA5 01510,01510,194,170,111,970,930,953,108,118,100,1272,1218,1164,5183,5514,5499,6455,6732,6663
ZCTA5 01515,01515,107,130,127,376,402,423,9,9,10,492,541,560,343,330,345,835,871,905
ZCTA5 01516,01516,223,271,288,1802,1801,1713,42,27,34,2067,2099,2035,1112,1061,1288,3179,3160,3323
ZCTA5 01518,01518,42,57,80,478,557,494,47,21,17,567,635,591,713,681,656,1280,1316,1247
ZCTA5 01519,01519,263,205,277,433,547,585,80,43,35,776,795,897,1876,1842,1827,2652,2637,2724
ZCTA5 01520,01520,305,290,264,2672,2527,2492,176,112,95,3153,2929,2851,2868,3049,3095,6021,5978,5946
ZCTA5 01521,01521,68,48,59,559,600,545,68,78,67,695,726,671,411,449,493,1106,1175,1164
ZCTA5 01522,01522,84,79,96,387,376,369,50,25,0,521,480,465,638,660,713,1159,1140,1178
ZCTA5 01523,01523,204,234,215,1263,1408,1431,70,123,125,1537,1765,1771,1264,1216,1173,2801,2981,2944
ZCTA5 01524,01524,128,113,73,1029,1129,1161,65,67,33,1222,1309,1267,958,878,962,2180,2187,2229
ZCTA5 01525,01525,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,31,31,0
ZCTA5 01527,01527,197,267,207,1675,1661,1894,53,56,54,1925,1984,2155,3240,3225,3137,5165,5209,5292
ZCTA5 01529,01529,106,91,134,844,779,718,39,38,36,989,908,888,286,367,334,1275,1275,1222
ZCTA5 01531,01531,33,30,20,241,205,191,13,13,14,287,248,225,143,154,155,430,402,380
ZCTA5 01532,01532,462,480,398,1631,1678,1607,135,112,115,2228,2270,2120,3434,3542,3595,5662,5812,5715
ZCTA5 01534,01534,132,98,90,1053,1050,1149,25,29,26,1210,1177,1265,1157,1161,1142,2367,2338,2407
ZCTA5 01535,01535,142,125,129,706,741,707,43,39,29,891,905,865,992,966,1032,1883,1871,1897
ZCTA5 01536,01536,172,123,90,1009,1114,1026,16,0,28,1197,1237,1144,1717,1791,1877,2914,3028,3021
ZCTA5 01537,01537,5,4,21,259,263,238,13,0,0,277,267,259,504,541,476,781,808,735
ZCTA5 01540,01540,560,435,493,1945,2011,2018,104,69,78,2609,2515,2589,1379,1556,1556,3988,4071,4145
ZCTA5 01541,01541,242,238,293,617,641,561,108,94,108,967,973,962,331,343,362,1298,1316,1324
ZCTA5 01542,01542,153,146,139,567,659,615,15,11,9,735,816,763,257,288,283,992,1104,1046
ZCTA5 01543,01543,280,337,353,1490,1440,1321,17,55,53,1787,1832,1727,1265,1226,1364,3052,3058,3091
ZCTA5 01545,01545,336,316,352,2658,2775,2526,249,167,145,3243,3258,3023,10565,11166,11485,13808,14424,14508
ZCTA5 01550,01550,312,262,186,1715,1554,1642,181,136,164,2208,1952,1992,4886,5078,5264,7094,7030,7256
ZCTA5 01560,01560,41,66,89,341,297,263,18,8,8,400,371,360,1502,1537,1595,1902,1908,1955
ZCTA5 01561,01561,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,17,0,0
ZCTA5 01562,01562,195,213,249,2049,2001,2066,55,60,68,2299,2274,2383,2887,2810,2752,5186,5084,5135
ZCTA5 01564,01564,265,232,163,1502,1692,1609,97,121,107,1864,2045,1879,1384,1416,1404,3248,3461,3283
ZCTA5 01566,01566,123,178,230,1360,1232,1193,76,101,111,1559,1511,1534,1051,1130,1250,2610,2641,2784
ZCTA5 01568,01568,198,198,248,1231,1194,1216,42,58,85,1471,1450,1549,1180,1209,1329,2651,2659,2878
ZCTA5 01569,01569,363,263,235,2005,2057,1993,45,51,68,2413,2371,2296,2914,2965,3138,5327,5336,5434
ZCTA5 01570,01570,413,374,275,2565,2478,2234,110,84,65,3088,2936,2574,4326,4375,4894,7414,7311,7468
ZCTA5 01571,01571,171,243,200,1857,1954,1780,52,54,23,2080,2251,2003,2119,2026,2252,4199,4277,4255
ZCTA5 01581,01581,286,271,237,1191,1187,1094,138,138,182,1615,1596,1513,6365,6366,6552,7980,7962,8065
ZCTA5 01583,01583,78,88,109,806,854,844,40,47,47,924,989,1000,1860,1838,1914,2784,2827,2914
ZCTA5 01585,01585,156,115,134,912,974,995,42,134,147,1110,1223,1276,858,805,895,1968,2028,2171
ZCTA5 01588,01588,380,271,305,1080,1204,1264,53,37,39,1513,1512,1608,2492,2610,2742,4005,4122,4350
ZCTA5 01590,01590,322,211,121,1592,1614,1697,188,134,37,2102,1959,1855,1230,1313,1365,3332,3272,3220
ZCTA5 01602,01602,583,513,423,1818,1812,1736,213,121,94,2614,2446,2253,7913,7659,7699,10527,10105,9952
ZCTA5 01603,01603,110,146,118,830,948,868,51,91,71,991,1185,1057,6505,6700,7076,7496,7885,8133
ZCTA5 01604,01604,349,281,256,1500,1549,1579,161,145,76,2010,1975,1911,14859,14836,14864,16869,16811,16775
ZCTA5 01605,01605,180,196,148,954,1047,1020,29,37,37,1163,1280,1205,10463,10403,10681,11626,11683,11886
ZCTA5 01606,01606,201,223,206,2031,1930,2124,80,73,110,2312,2226,2440,6886,6792,6488,9198,9018,8928
ZCTA5 01607,01607,50,81,74,672,632,449,5,0,0,727,713,523,3189,2964,3247,3916,3677,3770
ZCTA5 01608,01608,9,16,15,21,30,0,0,0,0,30,46,15,1915,2207,2199,1945,2253,2214
ZCTA5 01609,01609,74,45,29,911,768,747,92,109,114,1077,922,890,7362,7614,7340,8439,8536,8230
ZCTA5 01610,01610,77,42,23,140,174,164,36,34,0,253,250,187,8613,8832,9072,8866,9082,9259
ZCTA5 01611,01611,7,25,18,420,366,428,2,5,0,429,396,446,354,370,379,783,766,825
ZCTA5 01612,01612,114,105,95,744,826,871,86,70,67,944,1001,1033,644,610,600,1588,1611,1633
ZCTA5 01701,01701,333,245,276,3328,3454,3675,135,133,119,3796,3832,4070,9393,9325,8734,13189,13157,12804
ZCTA5 01702,01702,81,83,177,1149,1300,1209,7,20,40,1237,1403,1426,13573,13280,13239,14810,14683,14665
ZCTA5 01718,01718,0,0,0,0,0,0,0,0,0,0,0,0,228,241,217,228,241,217
ZCTA5 01719,01719,90,81,213,475,501,513,15,14,20,580,596,746,1600,1570,1464,2180,2166,2210
ZCTA5 01720,01720,214,309,262,1567,1410,1559,169,174,182,1950,1893,2003,6728,6850,6818,8678,8743,8821
ZCTA5 01721,01721,288,229,179,1276,1265,1223,92,64,68,1656,1558,1470,5931,6095,6103,7587,7653,7573
ZCTA5 01730,01730,92,91,80,655,547,627,105,189,184,852,827,891,4688,4843,4971,5540,5670,5862
ZCTA5 01731,01731,0,0,0,0,0,0,0,0,0,0,0,0,478,460,495,478,460,495
ZCTA5 01740,01740,215,254,251,845,694,793,54,57,57,1114,1005,1101,739,877,889,1853,1882,1990
ZCTA5 01741,01741,102,115,106,544,479,445,46,46,51,692,640,602,1108,1147,1124,1800,1787,1726
ZCTA5 01742,01742,263,283,247,972,1209,1175,109,45,102,1344,1537,1524,5013,4939,4667,6357,6476,6191
ZCTA5 01745,01745,5,13,13,31,30,56,7,6,0,43,49,69,172,164,181,215,213,250
ZCTA5 01746,01746,220,125,147,1184,1205,1091,72,50,31,1476,1380,1269,3878,4182,4385,5354,5562,5654
ZCTA5 01747,01747,58,29,23,1107,1171,1198,15,14,12,1180,1214,1233,936,957,938,2116,2171,2171
ZCTA5 01748,01748,463,462,381,1657,1513,1631,58,65,74,2178,2040,2086,4378,4634,4547,6556,6674,6633
ZCTA5 01749,01749,161,146,125,964,889,933,167,162,145,1292,1197,1203,6743,6858,6838,8035,8055,8041
ZCTA5 01752,01752,290,278,270,2110,1967,1828,295,220,155,2695,2465,2253,14452,14059,14396,17147,16524,16649
ZCTA5 01754,01754,108,94,138,765,907,962,107,88,48,980,1089,1148,3289,3327,3525,4269,4416,4673
ZCTA5 01756,01756,202,160,239,1044,1040,1068,34,29,25,1280,1229,1332,796,825,771,2076,2054,2103
ZCTA5 01757,01757,197,168,219,3478,3360,3165,117,159,116,3792,3687,3500,7695,7841,7910,11487,11528,11410
ZCTA5 01760,01760,444,394,354,2476,2772,2624,268,225,234,3188,3391,3212,11965,12075,12146,15153,15466,15358
ZCTA5 01770,01770,98,120,83,750,773,778,24,33,32,872,926,893,643,585,619,1515,1511,1512
ZCTA5 01772,01772,130,119,134,1290,1326,1245,178,107,107,1598,1552,1486,1766,1834,1975,3364,3386,3461
ZCTA5 01773,01773,40,116,141,419,362,378,18,17,40,477,495,559,1646,1630,1635,2123,2125,2194
ZCTA5 01775,01775,146,177,174,1050,1030,1035,86,71,89,1282,1278,1298,1364,1335,1433,2646,2613,2731
ZCTA5 01776,01776,244,186,166,1280,1257,1131,88,56,72,1612,1499,1369,4596,4824,4958,6208,6323,6327
ZCTA5 01778,01778,94,78,80,1031,970,1007,42,39,74,1167,1087,1161,3671,3934,3820,4838,5021,4981
ZCTA5 01801,01801,718,701,622,3619,3402,3365,131,105,67,4468,4208,4054,11824,11913,12306,16292,16121,16360
ZCTA5 01803,01803,306,316,287,2324,2366,2439,88,43,55,2718,2725,2781,7375,7265,7210,10093,9990,9991
ZCTA5 01810,01810,291,297,431,2204,2424,2277,119,120,59,2614,2841,2767,10621,10520,10512,13235,13361,13279
ZCTA5 01821,01821,389,371,333,1401,1351,1270,46,40,47,1836,1762,1650,9828,9727,9861,11664,11489,11511
ZCTA5 01824,01824,226,230,183,893,801,765,127,119,62,1246,1150,1010,8669,8760,8858,9915,9910,9868
ZCTA5 01826,01826,365,410,383,1382,1189,1289,119,125,167,1866,1724,1839,10484,10485,10310,12350,12209,12149
ZCTA5 01827,01827,77,73,62,429,421,392,23,31,24,529,525,478,607,610,657,1136,1135,1135
