zip_code,year,walkability_category,active_license_count,category_weight
60601,2017,personal_and_health_services,55,110
60601,2017,restaurants_and_social_life,344,1032
60601,2017,uncategorized,559,0
60601,2018,auto_oriented,53,-159
60601,2018,community_and_entertainment,75,150
60601,2018,fresh_food_and_daily_needs,565,1695
60601,2018,home_based_or_non_storefront,47,0
60601,2018,industrial_or_logistics,8,-16
60601,2018,local_retail_and_commercial_services,331,331
60601,2018,personal_and_health_services,52,104
60601,2018,restaurants_and_social_life,424,1272
60601,2018,uncategorized,747,0
60601,2019,auto_oriented,54,-162
60601,2019,community_and_entertainment,69,138
60601,2019,fresh_food_and_daily_needs,473,1419
60601,2019,home_based_or_non_storefront,38,0
60601,2019,industrial_or_logistics,3,-6
60601,2019,local_retail_and_commercial_services,298,298
60601,2019,personal_and_health_services,38,76
60601,2019,restaurants_and_social_life,358,1074
60601,2019,uncategorized,495,0
60601,2020,auto_oriented,35,-105
60601,2020,community_and_entertainment,70,140
60601,2020,fresh_food_and_daily_needs,507,1521
60601,2020,home_based_or_non_storefront,29,0
60601,2020,industrial_or_logistics,6,-12
60601,2020,local_retail_and_commercial_services,330,330
60601,2020,personal_and_health_services,47,94
60601,2020,restaurants_and_social_life,362,1086
60601,2020,uncategorized,600,0
60601,2021,auto_oriented,39,-117
60601,2021,community_and_entertainment,73,146
60601,2021,fresh_food_and_daily_needs,477,1431
60601,2021,home_based_or_non_storefront,41,0
60601,2021,industrial_or_logistics,5,-10
60601,2021,local_retail_and_commercial_services,318,318
60601,2021,personal_and_health_services,41,82
60601,2021,restaurants_and_social_life,374,1122
60601,2021,uncategorized,489,0
60601,2022,auto_oriented,36,-108
60601,2022,community_and_entertainment,73,146
60601,2022,fresh_food_and_daily_needs,447,1341
60601,2022,home_based_or_non_storefront,26,0
60601,2022,industrial_or_logistics,5,-10
60601,2022,local_retail_and_commercial_services,312,312
60601,2022,personal_and_health_services,45,90
60601,2022,restaurants_and_social_life,380,1140
60601,2022,uncategorized,502,0
60601,2023,auto_oriented,38,-114
60601,2023,community_and_entertainment,81,162
60601,2023,fresh_food_and_daily_needs,410,1230
60601,2023,home_based_or_non_storefront,35,0
60601,2023,industrial_or_logistics,6,-12
60601,2023,local_retail_and_commercial_services,248,248
60601,2023,personal_and_health_services,34,68
60601,2023,restaurants_and_social_life,392,1176
60601,2023,uncategorized,356,0
60601,2024,auto_oriented,40,-120
60601,2024,community_and_entertainment,79,158
60601,2024,fresh_food_and_daily_needs,435,1305
60601,2024,home_based_or_non_storefront,30,0
60601,2024,industrial_or_logistics,4,-8
60601,2024,local_retail_and_commercial_services,249,249
60601,2024,personal_and_health_services,37,74
60601,2024,restaurants_and_social_life,387,1161
60601,2024,uncategorized,416,0
60601,2025,auto_oriented,43,-129
60601,2025,community_and_entertainment,69,138
60601,2025,fresh_food_and_daily_needs,415,1245
60601,2025,home_based_or_non_storefront,25,0
60601,2025,industrial_or_logistics,7,-14
60601,2025,local_retail_and_commercial_services,212,212
60601,2025,personal_and_health_services,30,60
60601,2025,restaurants_and_social_life,389,1167
60601,2025,uncategorized,308,0
60602,2000,uncategorized,16,0
60602,2001,fresh_food_and_daily_needs,4,12
60602,2001,industrial_or_logistics,1,-2
60602,2001,local_retail_and_commercial_services,3,3
60602,2001,personal_and_health_services,2,4
60602,2001,restaurants_and_social_life,1,3
60602,2001,uncategorized,54,0
60602,2002,auto_oriented,1,-3
60602,2002,community_and_entertainment,8,16
60602,2002,fresh_food_and_daily_needs,135,405
60602,2002,industrial_or_logistics,2,-4
60602,2002,local_retail_and_commercial_services,24,24
60602,2002,personal_and_health_services,22,44
60602,2002,restaurants_and_social_life,49,147
60602,2002,uncategorized,540,0
60602,2003,auto_oriented,2,-6
60602,2003,community_and_entertainment,9,18
60602,2003,fresh_food_and_daily_needs,240,720
60602,2003,industrial_or_logistics,3,-6
60602,2003,local_retail_and_commercial_services,43,43
60602,2003,personal_and_health_services,36,72
60602,2003,restaurants_and_social_life,82,246
60602,2003,uncategorized,920,0
60602,2004,auto_oriented,3,-9
60602,2004,community_and_entertainment,11,22
60602,2004,fresh_food_and_daily_needs,247,741
60602,2004,home_based_or_non_storefront,4,0
60602,2004,industrial_or_logistics,4,-8
60602,2004,local_retail_and_commercial_services,43,43
60602,2004,personal_and_health_services,40,80
60602,2004,restaurants_and_social_life,72,216
60602,2004,uncategorized,965,0
60602,2005,auto_oriented,3,-9
60602,2005,community_and_entertainment,16,32
60602,2005,fresh_food_and_daily_needs,240,720
60602,2005,home_based_or_non_storefront,17,0
60602,2005,industrial_or_logistics,5,-10
60602,2005,local_retail_and_commercial_services,45,45
60602,2005,personal_and_health_services,41,82
60602,2005,restaurants_and_social_life,69,207
60602,2005,uncategorized,1019,0
60602,2006,auto_oriented,2,-6
60602,2006,community_and_entertainment,18,36
60602,2006,fresh_food_and_daily_needs,246,738
60602,2006,home_based_or_non_storefront,26,0
60602,2006,industrial_or_logistics,4,-8
60602,2006,local_retail_and_commercial_services,48,48
60602,2006,personal_and_health_services,39,78
60602,2006,restaurants_and_social_life,75,225
60602,2006,uncategorized,1049,0
60602,2007,auto_oriented,3,-9
60602,2007,community_and_entertainment,21,42
60602,2007,fresh_food_and_daily_needs,249,747
60602,2007,home_based_or_non_storefront,29,0
60602,2007,industrial_or_logistics,4,-8
60602,2007,local_retail_and_commercial_services,52,52
60602,2007,personal_and_health_services,38,76
60602,2007,restaurants_and_social_life,89,267
60602,2007,uncategorized,1119,0
60602,2008,auto_oriented,5,-15
60602,2008,community_and_entertainment,22,44
60602,2008,fresh_food_and_daily_needs,233,699
60602,2008,home_based_or_non_storefront,28,0
60602,2008,industrial_or_logistics,4,-8
60602,2008,local_retail_and_commercial_services,54,54
60602,2008,personal_and_health_services,30,60
60602,2008,restaurants_and_social_life,81,243
60602,2008,uncategorized,1166,0
60602,2009,auto_oriented,5,-15
60602,2009,community_and_entertainment,23,46
60602,2009,fresh_food_and_daily_needs,160,480
60602,2009,home_based_or_non_storefront,20,0
60602,2009,industrial_or_logistics,2,-4
60602,2009,local_retail_and_commercial_services,30,30
60602,2009,personal_and_health_services,17,34
60602,2009,restaurants_and_social_life,77,231
60602,2009,uncategorized,817,0
60602,2010,auto_oriented,6,-18
60602,2010,community_and_entertainment,31,62
60602,2010,fresh_food_and_daily_needs,257,771
60602,2010,home_based_or_non_storefront,26,0
60602,2010,industrial_or_logistics,4,-8
60602,2010,local_retail_and_commercial_services,50,50
60602,2010,personal_and_health_services,26,52
60602,2010,restaurants_and_social_life,99,297
60602,2010,uncategorized,1277,0
60602,2011,auto_oriented,13,-39
60602,2011,community_and_entertainment,31,62
60602,2011,fresh_food_and_daily_needs,170,510
60602,2011,home_based_or_non_storefront,17,0
60602,2011,industrial_or_logistics,2,-4
60602,2011,local_retail_and_commercial_services,28,28
60602,2011,personal_and_health_services,19,38
60602,2011,restaurants_and_social_life,79,237
60602,2011,uncategorized,768,0
60602,2012,auto_oriented,25,-75
60602,2012,community_and_entertainment,37,74
60602,2012,fresh_food_and_daily_needs,262,786
60602,2012,home_based_or_non_storefront,19,0
60602,2012,industrial_or_logistics,8,-16
60602,2012,local_retail_and_commercial_services,118,118
60602,2012,personal_and_health_services,50,100
60602,2012,restaurants_and_social_life,96,288
60602,2012,uncategorized,1100,0
60602,2013,auto_oriented,18,-54
60602,2013,community_and_entertainment,38,76
60602,2013,fresh_food_and_daily_needs,180,540
60602,2013,home_based_or_non_storefront,2,0
60602,2013,industrial_or_logistics,6,-12
60602,2013,local_retail_and_commercial_services,131,131
60602,2013,personal_and_health_services,36,72
60602,2013,restaurants_and_social_life,67,201
60602,2013,uncategorized,592,0
60602,2014,auto_oriented,19,-57
60602,2014,community_and_entertainment,37,74
60602,2014,fresh_food_and_daily_needs,261,783
60602,2014,home_based_or_non_storefront,3,0
60602,2014,industrial_or_logistics,12,-24
60602,2014,local_retail_and_commercial_services,198,198
60602,2014,personal_and_health_services,51,102
60602,2014,restaurants_and_social_life,97,291
60602,2014,uncategorized,832,0
60602,2015,auto_oriented,18,-54
60602,2015,community_and_entertainment,39,78
60602,2015,fresh_food_and_daily_needs,198,594
60602,2015,home_based_or_non_storefront,2,0
60602,2015,industrial_or_logistics,9,-18
60602,2015,local_retail_and_commercial_services,155,155
60602,2015,personal_and_health_services,25,50
60602,2015,restaurants_and_social_life,75,225
60602,2015,uncategorized,550,0
60602,2016,auto_oriented,14,-42
60602,2016,community_and_entertainment,48,96
60602,2016,fresh_food_and_daily_needs,267,801
60602,2016,home_based_or_non_storefront,1,0
60602,2016,industrial_or_logistics,15,-30
60602,2016,local_retail_and_commercial_services,216,216
60602,2016,personal_and_health_services,37,74
60602,2016,restaurants_and_social_life,106,318
60602,2016,uncategorized,655,0
60602,2017,auto_oriented,13,-39
60602,2017,community_and_entertainment,44,88
60602,2017,fresh_food_and_daily_needs,209,627
60602,2017,industrial_or_logistics,7,-14
60602,2017,local_retail_and_commercial_services,182,182
60602,2017,personal_and_health_services,28,56
60602,2017,restaurants_and_social_life,94,282
60602,2017,uncategorized,417,0
60602,2018,auto_oriented,14,-42
60602,2018,community_and_entertainment,47,94
60602,2018,fresh_food_and_daily_needs,270,810
60602,2018,home_based_or_non_storefront,3,0
60602,2018,industrial_or_logistics,15,-30
60602,2018,local_retail_and_commercial_services,237,237
60602,2018,personal_and_health_services,36,72
60602,2018,restaurants_and_social_life,103,309
60602,2018,uncategorized,549,0
60602,2019,auto_oriented,15,-45
60602,2019,community_and_entertainment,46,92
60602,2019,fresh_food_and_daily_needs,212,636
60602,2019,home_based_or_non_storefront,3,0
60602,2019,industrial_or_logistics,8,-16
60602,2019,local_retail_and_commercial_services,209,209
60602,2019,personal_and_health_services,26,52
60602,2019,restaurants_and_social_life,92,276
60602,2019,uncategorized,358,0
60602,2020,auto_oriented,12,-36
60602,2020,community_and_entertainment,40,80
60602,2020,fresh_food_and_daily_needs,245,735
60602,2020,home_based_or_non_storefront,4,0
60602,2020,industrial_or_logistics,13,-26
60602,2020,local_retail_and_commercial_services,247,247
60602,2020,personal_and_health_services,29,58
60602,2020,restaurants_and_social_life,88,264
60602,2020,uncategorized,432,0
60602,2021,auto_oriented,14,-42
60602,2021,community_and_entertainment,39,78
60602,2021,fresh_food_and_daily_needs,199,597
60602,2021,home_based_or_non_storefront,2,0
60602,2021,industrial_or_logistics,9,-18
60602,2021,local_retail_and_commercial_services,225,225
60602,2021,personal_and_health_services,19,38
60602,2021,restaurants_and_social_life,86,258
60602,2021,uncategorized,323,0
60602,2022,auto_oriented,10,-30
60602,2022,community_and_entertainment,34,68
60602,2022,fresh_food_and_daily_needs,214,642
60602,2022,home_based_or_non_storefront,3,0
60602,2022,industrial_or_logistics,11,-22
60602,2022,local_retail_and_commercial_services,240,240
60602,2022,personal_and_health_services,22,44
60602,2022,restaurants_and_social_life,78,234
60602,2022,uncategorized,357,0
60602,2023,auto_oriented,9,-27
60602,2023,community_and_entertainment,30,60
60602,2023,fresh_food_and_daily_needs,184,552
60602,2023,home_based_or_non_storefront,2,0
60602,2023,industrial_or_logistics,6,-12
60602,2023,local_retail_and_commercial_services,203,203
60602,2023,personal_and_health_services,19,38
60602,2023,restaurants_and_social_life,76,228
60602,2023,uncategorized,264,0
60602,2024,auto_oriented,9,-27
60602,2024,community_and_entertainment,33,66
60602,2024,fresh_food_and_daily_needs,204,612
60602,2024,home_based_or_non_storefront,3,0
60602,2024,industrial_or_logistics,10,-20
60602,2024,local_retail_and_commercial_services,211,211
60602,2024,personal_and_health_services,24,48
60602,2024,restaurants_and_social_life,76,228
60602,2024,uncategorized,312,0
60602,2025,auto_oriented,8,-24
60602,2025,community_and_entertainment,26,52
60602,2025,fresh_food_and_daily_needs,182,546
60602,2025,home_based_or_non_storefront,1,0
60602,2025,industrial_or_logistics,6,-12
60602,2025,local_retail_and_commercial_services,183,183
60602,2025,personal_and_health_services,21,42
60602,2025,restaurants_and_social_life,74,222
60602,2025,uncategorized,220,0
60603,2000,industrial_or_logistics,1,-2
60603,2000,restaurants_and_social_life,1,3
60603,2000,uncategorized,4,0
60603,2001,community_and_entertainment,1,2
60603,2001,fresh_food_and_daily_needs,4,12
